submission_id,where_drink
V0Gaxg,At a cafe
V0Gaxg,At the office
V0Gaxg,At home
V0Gaxg,On the go
LbWda2,At a cafe
7WWB4A,On the go
7WWB4A,At a cafe
7WWB4A,At home
7WWB4A,At the office
pKL8aB,At the office
Zd694B,At home
Zd694B,At the office
Zd694B,At a cafe
QAeYZY,At the office
QAeYZY,At a cafe
QA5JYA,At home
QA5JYA,At the office
QA5JYA,On the go
Rz5BPj,At a cafe
jyDqva,At the office
eB7QoJ,At home
24xzlg,At home
DVvoqX,At the office
DVvoqX,On the go
DVvoqX,At home
1r2YJQ,At the office
1r2YJQ,At home
1r2YJQ,At a cafe
1r2YJQ,On the go
24xYOV,At home
AlbYao,At the office
AlbYao,At home
J2krYz,At home
J2krYz,At a cafe
aBr18q,At home
aBr18q,On the go
6dQ08e,At a cafe
6dQ08e,At home
6dQ08e,On the go
EPbVlL,At home
ylqbBg,At home
ylqbBg,At the office
ylqbBg,At a cafe
ylqbBg,On the go
qbEQPO,At the office
qbEQPO,At home
qbEQPO,At a cafe
9dJ0O5,At home
9dJ0O5,At the office
9dJ0O5,At a cafe
BGboZR,At home
BGboZR,At a cafe
BGboZR,On the go
oAVNdO,At home
YZzBdN,At home
YZzBdN,At the office
VZ17Z6,At the office
VZ17Z6,At home
RzBeZj,At home
0Ej0GZ,At the office
0Ej0GZ,At a cafe
0Ej0GZ,At home
WApbkQ,At a cafe
WApbkQ,At home
0Ej0WA,At home
9dJYlQ,At home
9dJYlQ,At the office
BGbJzQ,At home
BGbJzQ,At the office
BGbJzQ,On the go
OABqpR,At home
bl41Zg,At a cafe
GrBVrk,On the go
WApbYk,At the office
WApbYk,At home
eBxG20,At home
eBxG20,At the office
24x9NA,At home
NAB2qB,At home
RzBqoJ,At home
jB98xY,On the go
LdMxB2,At the office
LdMxB2,At home
LdMxB2,On the go
5dqajd,At home
5dqajd,At a cafe
VZ1W0E,At home
VZ1W0E,At a cafe
NABN5G,At home
6dQY8o,At home
6dQY8o,At a cafe
6dQY8o,On the go
6dQY8o,At the office
WAp6va,At home
EPbVGA,At home
EPbVGA,At the office
EPbVGA,At a cafe
OABqQp,On the go
OABqQp,At a cafe
OABqQp,At the office
DVvOop,At home
KMBrLz,At the office
KMBrLz,At home
jB9r21,At home
jB9r21,At a cafe
pLPYLE,At the office
pLPYLE,On the go
oAV8yX,At home
aBrp0W,At home
g5NPxK,At home
g5NPxK,At the office
bl41kE,At home
bl41kE,At a cafe
bl41kE,On the go
GrBO1z,At home
GrBO1z,At the office
xdN8Q9,At home
xdN8Q9,At a cafe
xdN8Q9,On the go
vNx8Xv,At home
dY2JPN,At home
dY2JPN,At a cafe
MAdjLE,At home
6dQ6xo,At the office
6dQ6xo,At home
7d97lZ,At home
7d97lZ,At the office
0EjqPQ,At home
BGbJD4,At the office
9dJYbp,At home
9dJYbp,At the office
xdNbJ9,At home
xdNbJ9,On the go
xdNbJ9,At the office
xdNbJ9,At a cafe
EPbVLl,At home
EPbVLl,At the office
EPbVLl,On the go
pLPNQJ,At home
pLPNQJ,On the go
AlbMLW,At home
AlbMLW,At a cafe
EPboPq,At home
ylq8yW,At home
ylq8yW,At the office
ylq8yW,On the go
ylq8yW,At a cafe
J2kEDz,At the office
J2kEDz,At home
24x9Lg,At home
0EjYb6,At home
ZdRb6a,At home
WApbdP,At the office
WApbdP,At home
24xY69,At home
RzBqWd,At home
RzBqLv,At home
RzBqLv,At the office
RzBqLv,At a cafe
oAV8d5,At home
oAV8d5,At a cafe
oAV8OM,At home
AlbYyW,At the office
KMB4kk,At the office
KMB4kk,At home
42N0Kd,At home
42N0Kd,At the office
42N0Kd,At a cafe
0Ej0VZ,At home
rlrQQo,At home
rlrQQo,On the go
rlrQQo,At a cafe
vNx84X,At home
OABxLk,At a cafe
OABxLk,At home
MAd2V0,At home
8dpbGk,At home
8dpbGk,At a cafe
zKQ8ja,At the office
zKQ8ja,At home
YZzBLJ,At home
QABNdl,At home
8dpbko,At home
XeB6Ee,At home
XeB6Ee,At the office
KMBroK,At home
KMBroK,On the go
24x9rg,At home
dY2JjD,At the office
dY2JjD,At home
LdMjyz,At home
9dJYM1,At home
9dJYM1,At the office
9dJYM1,On the go
9dJYM1,At a cafe
kYR4rj,At home
kYR4rj,At the office
kYR4rj,At a cafe
kYR4rj,On the go
pLPN7q,At home
pLPN7q,At a cafe
6dQ0eO,At the office
6dQ0eO,At home
42NlLd,At home
42NlLd,At a cafe
LdMxaj,At home
LdMxaj,At a cafe
BGbJZ4,At home
J2kER7,At home
J2kER7,At the office
eBxgQO,None of these
J2kELz,At home
LdMjqJ,On the go
oAVNeM,At home
oAVZ95,At home
oAVZ95,At the office
eBxGvE,At home
eBxGvE,On the go
eBxGvE,At a cafe
eBxGvE,At the office
g5NPYO,At a cafe
g5NPYO,At the office
g5NPYO,On the go
g5NPYO,At home
xdNbxo,At home
xdNbxo,At a cafe
zKQ8ZZ,At home
zKQ8ZZ,On the go
zKQ8ZZ,At a cafe
zKQ8ZZ,At the office
rlrQxl,At the office
rlrQxl,At home
rlrQxl,At a cafe
VZ1W8N,At home
VZ1W8N,At a cafe
WAp6PN,At the office
WAp6PN,At home
WAp6PN,At a cafe
WAp6PN,On the go
DVvo9l,On the go
DVvo9l,At home
ylqAdB,At home
rlrQP2,At the office
rlrQP2,At home
EPbo0L,At the office
EPbo0L,At home
EPbo0L,On the go
ylqAY6,At home
ylqAY6,At a cafe
AlbR7B,At home
EPbVxA,At a cafe
EPbVxA,At home
BGboo4,At home
BGboo4,At a cafe
dY2GGD,On the go
oAV8o5,At home
WApa9N,At the office
BGbJE5,None of these
0EjzA9,On the go
0EjzA9,At home
0EjzA9,At a cafe
vNx6YX,At home
vNx6YX,On the go
vNx6YX,At the office
WApaAQ,At home
J2krZX,At the office
J2krZX,At home
oAVN6V,At home
VZ1WVN,At home
VZ1WVN,At a cafe
42Nlko,At the office
42Nlko,At home
RzBq4P,At home
1r2QM4,At home
1r2QM4,At a cafe
LdM4d2,At the office
LdM4d2,On the go
42N0dB,At the office
42N0dB,At a cafe
jB98M9,At home
1r205O,At home
5dq0yE,At the office
5dq0yE,At home
5dq0yE,On the go
YZzb4N,At home
QABq7Y,At home
PABQDd,At home
9dJY7E,At home
9dJY7E,At a cafe
9dJY7E,At the office
24xYgM,At home
24xYgM,At the office
KMB25K,At home
RzBqzP,At home
RzBqzP,At the office
GrBEvo,At home
GrBEvo,At a cafe
GrBEvo,At the office
rlrQrv,At home
rlrQrv,On the go
LdMxpz,At the office
LdMxpz,At home
LdMxpz,On the go
ZdRblA,At home
bl4My7,At home
XeB72d,At home
XeB72d,At a cafe
XeB72d,On the go
zKQBXq,At home
zKQBXq,At a cafe
rlr9Yv,At the office
rlr9Yv,At home
dY2GNy,At home
dY2GNy,At a cafe
zKQA18,On the go
zKQA18,At home
ZdRAAV,At home
ZdRAAV,On the go
VZ17Ev,At a cafe
VZ17Ev,At the office
VZ17Ev,At home
NAB2Ab,At a cafe
NAB2Ab,At home
rlr9yM,At home
rlr9yM,At the office
5dqYbv,At home
AlbRKW,At a cafe
AlbRKW,At the office
AlbRKW,At home
ylqb6X,At the office
ylqb6X,At home
dY2o6d,At the office
dY2o6d,On the go
dY2o6d,At a cafe
dY2o6d,At home
dY2oKz,At the office
dY2oKz,At home
oAVN61,At home
oAVN61,At a cafe
oAVN61,At the office
oAVN61,On the go
rlr9yv,At home
kYR4Nr,At home
kYR4Nr,At a cafe
kYR4Nr,On the go
kYR4Nr,At the office
zKQ4kq,At home
RzBeoP,At home
24xYJL,At home
24xYJL,At a cafe
ZdRAWA,At home
ZdRAWA,At the office
rlr9OL,At home
rlr9OL,At a cafe
PABQdQ,At the office
PABQdQ,At home
PABQdQ,On the go
1r20NQ,At the office
1r20NQ,At a cafe
1r20NQ,At home
qbEqj2,At home
qbEqj2,At the office
g5NV9P,At home
g5NV9P,At the office
42NY8Y,At home
42NY8Y,At the office
GrBVJp,At home
7d90RL,At home
7d90RL,At a cafe
lNl8WV,At the office
lNl8WV,At a cafe
vNxaEA,At a cafe
vNxaEA,On the go
vNxaEA,At home
0EjY5P,At home
eBxO5q,At home
blx47Z,At home
blx47Z,At a cafe
blx47Z,At the office
lNlXyB,At the office
1r2Yx4,At home
1r20WM,At home
J2krad,At home
DVvo05,At home
DVvo05,On the go
VZ1aJj,At home
aBrJxZ,At home
9dJ0qG,At home
