submission_id,sweetener
QA5JYA,Granulated Sugar
QA5JYA,Brown Sugar
BGboZR,Honey
0Ej0GZ,Granulated Sugar
0Ej0GZ,Brown Sugar
BGbJzQ,Brown Sugar
bl41Zg,Granulated Sugar
EPbVGA,Granulated Sugar
OABqQp,Raw Sugar (Turbinado)
OABqQp,Brown Sugar
aBrp0W,Granulated Sugar
aBrp0W,"Artificial Sweeteners (e.g., Splenda)"
AlbYyW,Honey
0Ej0VZ,"Artificial Sweeteners (e.g., Splenda)"
0Ej0VZ,Maple Syrup
0Ej0VZ,Agave Nectar
0Ej0VZ,Honey
YZzBLJ,Maple Syrup
QABNdl,"Artificial Sweeteners (e.g., Splenda)"
6dQ0eO,Granulated Sugar
6dQ0eO,Raw Sugar (Turbinado)
eBxgQO,Maple Syrup
eBxgQO,"Artificial Sweeteners (e.g., Splenda)"
eBxgQO,Granulated Sugar
eBxgQO,Honey
eBxgQO,Brown Sugar
J2kELz,Granulated Sugar
DVvo9l,Raw Sugar (Turbinado)
WApa9N,Granulated Sugar
BGbJE5,Granulated Sugar
9dJY7E,"Artificial Sweeteners (e.g., Splenda)"
9dJY7E,Granulated Sugar
rlr9Yv,Granulated Sugar
rlr9Yv,Brown Sugar
rlr9Yv,"Artificial Sweeteners (e.g., Splenda)"
rlr9Yv,Raw Sugar (Turbinado)
rlr9Yv,Stevia
zKQA18,Granulated Sugar
ZdRAAV,Stevia
ZdRAAV,"Artificial Sweeteners (e.g., Splenda)"
lNl8WV,Granulated Sugar
eBxO5q,Brown Sugar
blx47Z,Granulated Sugar
lNlXyB,Raw Sugar (Turbinado)
aBrJxZ,Raw Sugar (Turbinado)
V0ELg6,Stevia
rlr8LX,Stevia
pLPY01,Granulated Sugar
0EjqlN,"Artificial Sweeteners (e.g., Splenda)"
EPbovB,"Artificial Sweeteners (e.g., Splenda)"
EPbovB,Brown Sugar
dY2Jkd,Stevia
lNl89W,"Artificial Sweeteners (e.g., Splenda)"
RzBqjj,Raw Sugar (Turbinado)
RzBqjj,Granulated Sugar
KMBrkV,Granulated Sugar
aBrpab,Granulated Sugar
bl41vZ,Granulated Sugar
kYR8x1,Raw Sugar (Turbinado)
g5N8z4,Granulated Sugar
g5N8z4,Maple Syrup
QABN8Y,Granulated Sugar
5dqaod,Raw Sugar (Turbinado)
qbE8v9,Raw Sugar (Turbinado)
jB98Yx,Agave Nectar
jB98Yx,Granulated Sugar
7d97MR,"Artificial Sweeteners (e.g., Splenda)"
5dqaOo,Granulated Sugar
PABZWb,"Artificial Sweeteners (e.g., Splenda)"
