submission_id,brew,brew_other
gMR29l,NULL,NULL
BkPN0e,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
W5G8jj,Bean-to-cup machine,NULL
4xWgGr,Coffee brewing machine (e.g. Mr. Coffee),NULL
QD27Q8,Pour over,NULL
V0LPeM,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
V0LPeM,Espresso,NULL
V0LPeM,French press,NULL
V0Gaxg,Pour over,NULL
V0Gaxg,French press,NULL
V0Gaxg,Espresso,NULL
V0Gaxg,Instant coffee,NULL
V0Gaxg,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
AdzRL0,NULL,NULL
LbWda2,NULL,NULL
EXQLWN,NULL,NULL
2eNLJg,NULL,NULL
xpa2K9,NULL,NULL
V00RoJ,NULL,NULL
7WWB4A,Pour over,NULL
7WWB4A,Coffee brewing machine (e.g. Mr. Coffee),NULL
7WWB4A,Espresso,NULL
7WWB4A,Bean-to-cup machine,NULL
pKL8aB,NULL,NULL
Zd694B,Pour over,NULL
Zd694B,Espresso,NULL
Zd694B,Instant coffee,NULL
QAeYZY,NULL,NULL
QA5JYA,Pour over,NULL
QA5JYA,Coffee brewing machine (e.g. Mr. Coffee),NULL
Rz5BPj,NULL,NULL
jyDqva,NULL,NULL
eB7QoJ,Pour over,NULL
24xzlg,Other,Aeropress
DVvoqX,Espresso,NULL
1r2YJQ,Coffee extract (e.g. Cometeer),NULL
24xYOV,Pour over,NULL
AlbYao,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
AlbYao,French press,NULL
J2krYz,Pour over,NULL
J2krYz,Espresso,NULL
WAp6ak,NULL,NULL
aBr18q,NULL,NULL
42NYWO,NULL,NULL
6dQ08e,Espresso,NULL
6dQ08e,Cold brew,NULL
6dQ08e,Pour over,NULL
J2kj9J,French press,NULL
J2kj9J,Cold brew,NULL
8dpDNA,Pour over,NULL
8dpDNA,Espresso,NULL
EPbVlL,Pour over,NULL
ylqbBg,Pour over,NULL
ylqbBg,French press,NULL
ylqbBg,Espresso,NULL
vNx6A4,NULL,NULL
KMB2og,NULL,NULL
qbEQPO,Pour over,Mokkapot
qbEQPO,Cold brew,Mokkapot
qbEQPO,Other,Mokkapot
9dJ0O5,French press,Moka pot
9dJ0O5,Pod/capsule machine (e.g. Keurig/Nespresso),Moka pot
9dJ0O5,Other,Moka pot
BGboZR,Pour over,Aeropress
BGboZR,French press,Aeropress
BGboZR,Espresso,Aeropress
BGboZR,Other,Aeropress
BGboZR,Cold brew,Aeropress
BGboZR,Coffee brewing machine (e.g. Mr. Coffee),Aeropress
BGboZR,Pour over,moka pot.
BGboZR,French press,moka pot.
BGboZR,Espresso,moka pot.
BGboZR,Other,moka pot.
BGboZR,Cold brew,moka pot.
BGboZR,Coffee brewing machine (e.g. Mr. Coffee),moka pot.
oAVNdO,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
YZzBdN,Pour over,NULL
YZzBdN,Espresso,NULL
VZ17Z6,Pour over,NULL
RzBeZj,Pour over,NULL
RzBeZj,French press,NULL
RzBeZj,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
0Ej0GZ,Pour over,Aeropress
0Ej0GZ,Espresso,Aeropress
0Ej0GZ,Other,Aeropress
eBxO4l,NULL,NULL
WApbkQ,Espresso,NULL
WApbkQ,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
0Ej0WA,Coffee extract (e.g. Cometeer),NULL
0Ej0WA,Pour over,NULL
9dJYlQ,Other,Aeropress
BGbJzQ,Espresso,NULL
BGbJzQ,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
OABqpR,French press,NULL
bl41Zg,NULL,NULL
GrBVrk,NULL,NULL
WApbYk,Other,Aeropress
eBxG20,Espresso,NULL
eBxG20,Pour over,NULL
eBxG20,French press,NULL
eBxG20,Cold brew,NULL
24x9NA,Pour over,NULL
24x9NA,Instant coffee,NULL
24x9NA,Cold brew,NULL
NAB2qB,Espresso,NULL
RzBqoJ,Espresso,NULL
RzBqoJ,Cold brew,NULL
RzBqoJ,Pour over,NULL
jB98xY,NULL,NULL
LdMxB2,Espresso,NULL
LdMxB2,Cold brew,NULL
GrBOrz,NULL,NULL
5dqajd,Other,Areopress
VZ1W0E,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
VZ1W0E,Cold brew,NULL
VZ1W0E,French press,NULL
VZ1W0E,Pour over,NULL
VZ1W0E,Coffee brewing machine (e.g. Mr. Coffee),NULL
NABN5G,Pod/capsule machine (e.g. Keurig/Nespresso),Aeropress
NABN5G,Other,Aeropress
6dQY8o,Pour over,NULL
6dQY8o,Espresso,NULL
WAp6va,Espresso,NULL
WAp6va,Bean-to-cup machine,NULL
WAp6va,Pour over,NULL
EPbVGA,Coffee brewing machine (e.g. Mr. Coffee),NULL
EPbVGA,Cold brew,NULL
OABqQp,NULL,NULL
DVvOop,Espresso,NULL
KMBrLz,Pour over,NULL
KMBrLz,French press,NULL
KMBrLz,Espresso,NULL
KMBrLz,Cold brew,NULL
jB9r21,Pour over,NULL
jB9r21,Espresso,NULL
jB9r21,Coffee brewing machine (e.g. Mr. Coffee),NULL
jB9r21,Cold brew,NULL
pLPYLE,NULL,NULL
oAV8yX,Espresso,NULL
aBrp0W,Coffee brewing machine (e.g. Mr. Coffee),NULL
aBrp0W,Cold brew,NULL
g5NPxK,Espresso,NULL
g5NPxK,Pour over,NULL
bl41kE,Pour over,NULL
bl41kE,French press,NULL
bl41kE,Espresso,NULL
bl41kE,Coffee brewing machine (e.g. Mr. Coffee),NULL
GrBO1z,Pour over,NULL
GrBO1z,French press,NULL
xdN8Q9,Pour over,NULL
xdN8Q9,French press,NULL
xdN8Q9,Espresso,NULL
xdN8Q9,Coffee brewing machine (e.g. Mr. Coffee),NULL
xdN8Q9,Cold brew,NULL
vNx8Xv,French press,NULL
dY2JPN,Pour over,NULL
MAdjLE,Espresso,NULL
MAdjLE,Pour over,NULL
6dQ6xo,Espresso,NULL
6dQ6xo,Pour over,NULL
7d97lZ,Coffee extract (e.g. Cometeer),NULL
0EjqPQ,Pour over,NULL
BGbJD4,NULL,NULL
9dJYbp,Pour over,NULL
9dJYbp,Espresso,NULL
9dJYbp,Coffee brewing machine (e.g. Mr. Coffee),NULL
xdNbJ9,Espresso,NULL
EPbVLl,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
pLPNQJ,Pour over,NULL
AlbMLW,Pour over,Aeropress
AlbMLW,Other,Aeropress
EPboPq,Pour over,NULL
EPboPq,Cold brew,NULL
ylq8yW,Espresso,NULL
ylq8yW,Coffee brewing machine (e.g. Mr. Coffee),NULL
J2kEDz,Espresso,NULL
J2kEDz,Pour over,NULL
J2kEDz,Coffee brewing machine (e.g. Mr. Coffee),NULL
24x9Lg,Pour over,NULL
0EjYb6,Pour over,NULL
0EjYb6,Espresso,NULL
ZdRb6a,Espresso,NULL
ZdRb6a,Pour over,NULL
WApbdP,Other,Aeropress
24xY69,French press,NULL
24xY69,Cold brew,NULL
RzBqWd,Pour over,NULL
RzBqLv,Pour over,NULL
RzBqLv,French press,NULL
RzBqLv,Espresso,NULL
RzBqLv,Coffee brewing machine (e.g. Mr. Coffee),NULL
oAV8d5,French press,NULL
oAV8OM,Pour over,NULL
oAV8OM,Espresso,NULL
oAV8OM,Cold brew,NULL
AlbYyW,NULL,NULL
KMB4kk,Cold brew,Moka pot
KMB4kk,Coffee extract (e.g. Cometeer),Moka pot
KMB4kk,Pod/capsule machine (e.g. Keurig/Nespresso),Moka pot
KMB4kk,Other,Moka pot
42N0Kd,French press,NULL
42N0Kd,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
0Ej0VZ,French press,NULL
0Ej0VZ,Cold brew,NULL
rlrQQo,Instant coffee,NULL
vNx84X,Espresso,NULL
OABxLk,Pour over,NULL
OABxLk,Espresso,NULL
MAd2V0,Coffee brewing machine (e.g. Mr. Coffee),NULL
8dpbGk,Pour over,NULL
8dpbGk,Espresso,NULL
8dpbGk,French press,NULL
zKQ8ja,Espresso,NULL
YZzBLJ,Cold brew,NULL
QABNdl,Pour over,NULL
QABNdl,French press,NULL
QABNdl,Espresso,NULL
8dpbko,Espresso,NULL
XeB6Ee,Bean-to-cup machine,NULL
KMBroK,Pour over,NULL
24x9rg,Pour over,NULL
24x9rg,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
dY2JjD,Pour over,NULL
dY2JjD,Espresso,NULL
LdMjyz,Pour over,NULL
LdMjyz,Coffee extract (e.g. Cometeer),NULL
9dJYM1,Espresso,NULL
9dJYM1,French press,NULL
9dJYM1,Pour over,NULL
kYR4rj,Espresso,NULL
kYR4rj,Pour over,NULL
kYR4rj,French press,NULL
pLPN7q,Pour over,Mokapot
pLPN7q,Espresso,Mokapot
pLPN7q,French press,Mokapot
pLPN7q,Cold brew,Mokapot
pLPN7q,Other,Mokapot
pLPN7q,Pour over,aeropress
pLPN7q,Espresso,aeropress
pLPN7q,French press,aeropress
pLPN7q,Cold brew,aeropress
pLPN7q,Other,aeropress
6dQ0eO,Espresso,NULL
6dQ0eO,Cold brew,NULL
42NlLd,Coffee brewing machine (e.g. Mr. Coffee),NULL
LdMxaj,Pour over,Clever
LdMxaj,Other,Clever
BGbJZ4,Bean-to-cup machine,NULL
BGbJZ4,Pour over,NULL
J2kER7,French press,Moka pot
J2kER7,Coffee brewing machine (e.g. Mr. Coffee),Moka pot
J2kER7,Other,Moka pot
eBxgQO,NULL,NULL
J2kELz,Pour over,NULL
J2kELz,French press,NULL
J2kELz,Coffee brewing machine (e.g. Mr. Coffee),NULL
J2kELz,Instant coffee,NULL
J2kELz,Cold brew,NULL
LdMjqJ,NULL,NULL
oAVNeM,Coffee brewing machine (e.g. Mr. Coffee),NULL
oAVZ95,Pour over,NULL
oAVZ95,Espresso,NULL
oAVZ95,Cold brew,NULL
eBxGvE,Pour over,Aeropress
eBxGvE,Espresso,Aeropress
eBxGvE,French press,Aeropress
eBxGvE,Other,Aeropress
g5NPYO,Espresso,NULL
g5NPYO,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
g5NPYO,Cold brew,NULL
g5NPYO,Pour over,NULL
xdNbxo,Coffee brewing machine (e.g. Mr. Coffee),NULL
zKQ8ZZ,Pour over,NULL
zKQ8ZZ,Espresso,NULL
zKQ8ZZ,Coffee brewing machine (e.g. Mr. Coffee),NULL
zKQ8ZZ,French press,NULL
rlrQxl,Pour over,NULL
rlrQxl,French press,NULL
VZ1W8N,Espresso,NULL
VZ1W8N,Coffee brewing machine (e.g. Mr. Coffee),NULL
VZ1W8N,French press,NULL
VZ1W8N,Pour over,NULL
WAp6PN,Pour over,NULL
WAp6PN,Coffee brewing machine (e.g. Mr. Coffee),NULL
WAp6PN,Espresso,NULL
DVvo9l,French press,NULL
DVvo9l,Espresso,NULL
DVvo9l,Cold brew,NULL
ylqAdB,Pour over,NULL
ylqAdB,Pod/capsule machine (e.g. Keurig/Nespresso),NULL
