submission_id,why_drink,why_drink_other
gMR29l,NULL,NULL
BkPN0e,NULL,NULL
W5G8jj,NULL,NULL
4xWgGr,NULL,NULL
QD27Q8,NULL,NULL
V0LPeM,NULL,NULL
V0Gaxg,NULL,NULL
AdzRL0,NULL,NULL
LbWda2,NULL,NULL
EXQLWN,NULL,NULL
2eNLJg,NULL,NULL
xpa2K9,NULL,NULL
V00RoJ,NULL,NULL
7WWB4A,NULL,NULL
pKL8aB,NULL,NULL
Zd694B,NULL,NULL
QAeYZY,NULL,NULL
QA5JYA,NULL,NULL
Rz5BPj,NULL,NULL
jyDqva,NULL,NULL
eB7QoJ,NULL,NULL
24xzlg,NULL,NULL
DVvoqX,NULL,NULL
1r2YJQ,NULL,NULL
24xYOV,NULL,NULL
AlbYao,NULL,NULL
J2krYz,NULL,NULL
WAp6ak,NULL,NULL
aBr18q,NULL,NULL
42NYWO,NULL,NULL
6dQ08e,NULL,NULL
J2kj9J,NULL,NULL
8dpDNA,NULL,NULL
EPbVlL,NULL,NULL
ylqbBg,It tastes good,NULL
vNx6A4,NULL,NULL
KMB2og,NULL,NULL
qbEQPO,NULL,NULL
9dJ0O5,NULL,NULL
BGboZR,NULL,NULL
oAVNdO,NULL,NULL
YZzBdN,It tastes good,NULL
YZzBdN,I need the caffeine,NULL
VZ17Z6,It tastes good,NULL
RzBeZj,It tastes good,NULL
RzBeZj,I need the caffeine,NULL
RzBeZj,I need the ritual,NULL
0Ej0GZ,NULL,NULL
eBxO4l,NULL,NULL
WApbkQ,I need the ritual,NULL
WApbkQ,It tastes good,NULL
0Ej0WA,It tastes good,NULL
0Ej0WA,I need the caffeine,NULL
9dJYlQ,It tastes good,NULL
9dJYlQ,I need the caffeine,NULL
BGbJzQ,NULL,NULL
OABqpR,NULL,NULL
bl41Zg,It tastes good,NULL
bl41Zg,I need the caffeine,NULL
GrBVrk,NULL,NULL
WApbYk,I need the ritual,NULL
WApbYk,It tastes good,NULL
eBxG20,It tastes good,NULL
eBxG20,I need the caffeine,NULL
eBxG20,I need the ritual,NULL
24x9NA,NULL,NULL
NAB2qB,It tastes good,NULL
NAB2qB,I need the ritual,NULL
RzBqoJ,I need the ritual,NULL
RzBqoJ,It tastes good,NULL
RzBqoJ,I need the caffeine,NULL
jB98xY,NULL,NULL
LdMxB2,NULL,NULL
GrBOrz,NULL,NULL
5dqajd,I need the ritual,NULL
5dqajd,I need the caffeine,NULL
5dqajd,It tastes good,NULL
VZ1W0E,It tastes good,NULL
VZ1W0E,I need the caffeine,NULL
VZ1W0E,I need the ritual,NULL
NABN5G,It tastes good,NULL
NABN5G,I need the ritual,NULL
6dQY8o,It tastes good,NULL
6dQY8o,I need the ritual,NULL
WAp6va,It tastes good,NULL
WAp6va,I need the ritual,NULL
WAp6va,I need the caffeine,NULL
EPbVGA,NULL,NULL
OABqQp,It tastes good,NULL
OABqQp,I need the caffeine,NULL
OABqQp,I need the ritual,NULL
DVvOop,NULL,NULL
KMBrLz,NULL,NULL
jB9r21,I need the ritual,NULL
pLPYLE,It tastes good,NULL
pLPYLE,I need the caffeine,NULL
oAV8yX,NULL,NULL
aBrp0W,NULL,NULL
g5NPxK,It tastes good,NULL
bl41kE,It tastes good,NULL
bl41kE,I need the ritual,NULL
bl41kE,I need the caffeine,NULL
bl41kE,It makes me go to the bathroom,NULL
GrBO1z,It tastes good,NULL
GrBO1z,I need the caffeine,NULL
GrBO1z,I need the ritual,NULL
xdN8Q9,It tastes good,NULL
vNx8Xv,It tastes good,NULL
vNx8Xv,I need the caffeine,NULL
dY2JPN,It tastes good,NULL
dY2JPN,I need the ritual,NULL
dY2JPN,It makes me go to the bathroom,NULL
MAdjLE,It tastes good,NULL
6dQ6xo,It tastes good,NULL
7d97lZ,I need the caffeine,NULL
7d97lZ,It tastes good,NULL
0EjqPQ,It tastes good,NULL
0EjqPQ,I need the caffeine,NULL
0EjqPQ,I need the ritual,NULL
BGbJD4,I need the caffeine,NULL
BGbJD4,I need the ritual,NULL
BGbJD4,It makes me go to the bathroom,NULL
BGbJD4,It tastes good,NULL
9dJYbp,It tastes good,NULL
9dJYbp,I need the caffeine,NULL
xdNbJ9,It tastes good,NULL
EPbVLl,NULL,NULL
pLPNQJ,I need the ritual,NULL
pLPNQJ,I need the caffeine,NULL
pLPNQJ,It makes me go to the bathroom,NULL
pLPNQJ,It tastes good,NULL
AlbMLW,It tastes good,NULL
AlbMLW,I need the ritual,NULL
EPboPq,It tastes good,NULL
EPboPq,I need the caffeine,NULL
ylq8yW,It tastes good,NULL
ylq8yW,I need the caffeine,NULL
ylq8yW,I need the ritual,NULL
ylq8yW,It makes me go to the bathroom,NULL
J2kEDz,It tastes good,NULL
J2kEDz,I need the ritual,NULL
J2kEDz,It makes me go to the bathroom,NULL
24x9Lg,It tastes good,NULL
24x9Lg,I need the caffeine,NULL
0EjYb6,It tastes good,NULL
0EjYb6,I need the caffeine,NULL
0EjYb6,I need the ritual,NULL
ZdRb6a,It tastes good,NULL
ZdRb6a,I need the caffeine,NULL
ZdRb6a,I need the ritual,NULL
WApbdP,It tastes good,NULL
WApbdP,I need the ritual,NULL
WApbdP,I need the caffeine,NULL
24xY69,I need the ritual,NULL
24xY69,It tastes good,NULL
RzBqWd,I need the ritual,NULL
RzBqWd,It tastes good,NULL
RzBqLv,It tastes good,NULL
oAV8d5,It tastes good,NULL
oAV8d5,I need the caffeine,NULL
oAV8d5,I need the ritual,NULL
oAV8OM,It tastes good,NULL
oAV8OM,I need the ritual,NULL
AlbYyW,It tastes good,NULL
AlbYyW,I need the caffeine,NULL
KMB4kk,It tastes good,NULL
KMB4kk,I need the caffeine,NULL
42N0Kd,It tastes good,NULL
42N0Kd,I need the caffeine,NULL
42N0Kd,I need the ritual,NULL
0Ej0VZ,I need the caffeine,NULL
0Ej0VZ,It tastes good,NULL
rlrQQo,It tastes good,NULL
rlrQQo,I need the caffeine,NULL
rlrQQo,I need the ritual,NULL
vNx84X,It tastes good,NULL
OABxLk,It tastes good,NULL
MAd2V0,It tastes good,NULL
8dpbGk,It tastes good,NULL
8dpbGk,I need the caffeine,NULL
8dpbGk,I need the ritual,NULL
zKQ8ja,It tastes good,NULL
zKQ8ja,I need the ritual,NULL
YZzBLJ,I need the caffeine,NULL
QABNdl,It tastes good,NULL
QABNdl,I need the caffeine,NULL
8dpbko,It tastes good,NULL
8dpbko,I need the ritual,NULL
XeB6Ee,It tastes good,NULL
XeB6Ee,I need the caffeine,NULL
XeB6Ee,I need the ritual,NULL
XeB6Ee,It makes me go to the bathroom,NULL
KMBroK,It tastes good,NULL
24x9rg,I need the caffeine,NULL
24x9rg,I need the ritual,NULL
24x9rg,It tastes good,NULL
dY2JjD,I need the ritual,NULL
LdMjyz,It tastes good,NULL
9dJYM1,It tastes good,NULL
9dJYM1,I need the ritual,NULL
kYR4rj,I need the ritual,NULL
kYR4rj,It tastes good,NULL
pLPN7q,It tastes good,NULL
6dQ0eO,It tastes good,NULL
42NlLd,It tastes good,NULL
42NlLd,I need the caffeine,NULL
42NlLd,I need the ritual,NULL
42NlLd,It makes me go to the bathroom,NULL
LdMxaj,It tastes good,NULL
LdMxaj,I need the ritual,NULL
BGbJZ4,It tastes good,NULL
BGbJZ4,I need the caffeine,NULL
BGbJZ4,I need the ritual,NULL
BGbJZ4,It makes me go to the bathroom,NULL
