submission_id,purchase,purchase_other
gMR29l,NULL,NULL
BkPN0e,NULL,NULL
W5G8jj,NULL,NULL
4xWgGr,NULL,NULL
QD27Q8,NULL,NULL
V0LPeM,NULL,NULL
V0Gaxg,"National chain (e.g. Starbucks, Dunkin)",NULL
V0Gaxg,Local cafe,NULL
V0Gaxg,Drive-thru,NULL
V0Gaxg,Specialty coffee shop,NULL
V0Gaxg,Other,NULL
AdzRL0,NULL,NULL
LbWda2,NULL,NULL
EXQLWN,NULL,NULL
2eNLJg,NULL,NULL
xpa2K9,NULL,NULL
V00RoJ,NULL,NULL
7WWB4A,Local cafe,NULL
7WWB4A,Specialty coffee shop,NULL
pKL8aB,NULL,NULL
Zd694B,NULL,NULL
QAeYZY,NULL,NULL
QA5JYA,"National chain (e.g. Starbucks, Dunkin)",NULL
QA5JYA,Local cafe,NULL
QA5JYA,Specialty coffee shop,NULL
Rz5BPj,NULL,NULL
jyDqva,NULL,NULL
eB7QoJ,NULL,NULL
24xzlg,NULL,NULL
DVvoqX,Local cafe,NULL
1r2YJQ,"National chain (e.g. Starbucks, Dunkin)",NULL
1r2YJQ,Specialty coffee shop,NULL
1r2YJQ,Local cafe,NULL
24xYOV,NULL,NULL
AlbYao,NULL,NULL
J2krYz,NULL,NULL
WAp6ak,NULL,NULL
aBr18q,NULL,NULL
42NYWO,NULL,NULL
6dQ08e,Specialty coffee shop,NULL
J2kj9J,NULL,NULL
8dpDNA,NULL,NULL
EPbVlL,NULL,NULL
ylqbBg,Local cafe,NULL
ylqbBg,Specialty coffee shop,NULL
vNx6A4,NULL,NULL
KMB2og,NULL,NULL
qbEQPO,NULL,NULL
9dJ0O5,NULL,NULL
BGboZR,Local cafe,NULL
BGboZR,Specialty coffee shop,NULL
oAVNdO,NULL,NULL
YZzBdN,NULL,NULL
VZ17Z6,NULL,NULL
RzBeZj,NULL,NULL
0Ej0GZ,NULL,NULL
eBxO4l,NULL,NULL
WApbkQ,NULL,NULL
0Ej0WA,NULL,NULL
9dJYlQ,NULL,NULL
BGbJzQ,"National chain (e.g. Starbucks, Dunkin)",NULL
OABqpR,NULL,NULL
bl41Zg,NULL,NULL
GrBVrk,Deli or supermarket,NULL
WApbYk,NULL,NULL
eBxG20,NULL,NULL
24x9NA,NULL,NULL
NAB2qB,NULL,NULL
RzBqoJ,NULL,NULL
jB98xY,Local cafe,NULL
LdMxB2,Local cafe,NULL
GrBOrz,NULL,NULL
5dqajd,NULL,NULL
VZ1W0E,NULL,NULL
NABN5G,NULL,NULL
6dQY8o,Specialty coffee shop,NULL
WAp6va,NULL,NULL
EPbVGA,NULL,NULL
OABqQp,Local cafe,NULL
OABqQp,"National chain (e.g. Starbucks, Dunkin)",NULL
DVvOop,NULL,NULL
KMBrLz,NULL,NULL
jB9r21,NULL,NULL
pLPYLE,Drive-thru,NULL
pLPYLE,"National chain (e.g. Starbucks, Dunkin)",NULL
oAV8yX,NULL,NULL
aBrp0W,NULL,NULL
g5NPxK,NULL,NULL
bl41kE,Specialty coffee shop,NULL
bl41kE,Drive-thru,NULL
bl41kE,Local cafe,NULL
bl41kE,"National chain (e.g. Starbucks, Dunkin)",NULL
GrBO1z,NULL,NULL
xdN8Q9,Local cafe,NULL
vNx8Xv,NULL,NULL
dY2JPN,NULL,NULL
MAdjLE,NULL,NULL
6dQ6xo,NULL,NULL
7d97lZ,NULL,NULL
0EjqPQ,NULL,NULL
BGbJD4,NULL,NULL
9dJYbp,NULL,NULL
xdNbJ9,"National chain (e.g. Starbucks, Dunkin)",NULL
EPbVLl,Local cafe,NULL
pLPNQJ,Local cafe,NULL
AlbMLW,NULL,NULL
EPboPq,NULL,NULL
ylq8yW,Local cafe,NULL
ylq8yW,"National chain (e.g. Starbucks, Dunkin)",NULL
J2kEDz,NULL,NULL
24x9Lg,NULL,NULL
0EjYb6,NULL,NULL
ZdRb6a,NULL,NULL
WApbdP,NULL,NULL
24xY69,NULL,NULL
RzBqWd,NULL,NULL
RzBqLv,NULL,NULL
oAV8d5,NULL,NULL
oAV8OM,NULL,NULL
AlbYyW,NULL,NULL
KMB4kk,NULL,NULL
42N0Kd,NULL,NULL
0Ej0VZ,NULL,NULL
rlrQQo,Specialty coffee shop,NULL
rlrQQo,Local cafe,NULL
vNx84X,NULL,NULL
OABxLk,NULL,NULL
MAd2V0,NULL,NULL
8dpbGk,NULL,NULL
zKQ8ja,NULL,NULL
YZzBLJ,NULL,NULL
QABNdl,NULL,NULL
8dpbko,NULL,NULL
XeB6Ee,NULL,NULL
KMBroK,"National chain (e.g. Starbucks, Dunkin)",NULL
24x9rg,NULL,NULL
dY2JjD,NULL,NULL
LdMjyz,NULL,NULL
9dJYM1,Specialty coffee shop,NULL
9dJYM1,Local cafe,NULL
kYR4rj,Local cafe,NULL
pLPN7q,NULL,NULL
6dQ0eO,NULL,NULL
42NlLd,NULL,NULL
LdMxaj,NULL,NULL
BGbJZ4,NULL,NULL
J2kER7,NULL,NULL
eBxgQO,NULL,NULL
J2kELz,NULL,NULL
LdMjqJ,Specialty coffee shop,NULL
oAVNeM,NULL,NULL
oAVZ95,NULL,NULL
eBxGvE,"National chain (e.g. Starbucks, Dunkin)",NULL
eBxGvE,Local cafe,NULL
eBxGvE,Specialty coffee shop,NULL
g5NPYO,Local cafe,NULL
g5NPYO,Specialty coffee shop,NULL
g5NPYO,"National chain (e.g. Starbucks, Dunkin)",NULL
xdNbxo,NULL,NULL
zKQ8ZZ,"National chain (e.g. Starbucks, Dunkin)",NULL
zKQ8ZZ,Specialty coffee shop,NULL
zKQ8ZZ,Local cafe,NULL
rlrQxl,NULL,NULL
VZ1W8N,NULL,NULL
WAp6PN,"National chain (e.g. Starbucks, Dunkin)",NULL
WAp6PN,Local cafe,NULL
WAp6PN,Drive-thru,NULL
DVvo9l,Specialty coffee shop,NULL
DVvo9l,"National chain (e.g. Starbucks, Dunkin)",NULL
DVvo9l,Local cafe,NULL
ylqAdB,NULL,NULL
rlrQP2,NULL,NULL
EPbo0L,"National chain (e.g. Starbucks, Dunkin)",NULL
EPbo0L,Local cafe,NULL
ylqAY6,NULL,NULL
AlbR7B,NULL,NULL
EPbVxA,NULL,NULL
BGboo4,NULL,NULL
dY2GGD,"National chain (e.g. Starbucks, Dunkin)",NULL
oAV8o5,NULL,NULL
WApa9N,NULL,NULL
BGbJE5,NULL,NULL
0EjzA9,Specialty coffee shop,NULL
0EjzA9,"National chain (e.g. Starbucks, Dunkin)",NULL
vNx6YX,"National chain (e.g. Starbucks, Dunkin)",NULL
vNx6YX,Local cafe,NULL
WApaAQ,NULL,NULL
J2krZX,NULL,NULL
oAVN6V,NULL,NULL
VZ1WVN,NULL,NULL
42Nlko,NULL,NULL
RzBq4P,NULL,NULL
1r2QM4,NULL,NULL
LdM4d2,Drive-thru,NULL
LdM4d2,"National chain (e.g. Starbucks, Dunkin)",NULL
LdM4d2,Specialty coffee shop,NULL
42N0dB,NULL,NULL
jB98M9,NULL,NULL
1r205O,NULL,NULL
5dq0yE,Other,I don’t
5dq0yE,Other,cafe coffee has never appealed to me because of the cost to quantity ratio
YZzb4N,NULL,NULL
QABq7Y,NULL,NULL
PABQDd,NULL,NULL
9dJY7E,NULL,NULL
24xYgM,NULL,NULL
KMB25K,NULL,NULL
RzBqzP,NULL,NULL
GrBEvo,NULL,NULL
rlrQrv,Specialty coffee shop,NULL
