submission_id,additions,additions_other
gMR29l,No - just black,NULL
BkPN0e,Sugar or sweetener,NULL
BkPN0e,No - just black,NULL
W5G8jj,No - just black,NULL
4xWgGr,No - just black,NULL
4xWgGr,Cinnamon,NULL
QD27Q8,No - just black,NULL
V0LPeM,Half & half,NULL
V0Gaxg,No - just black,NULL
AdzRL0,NULL,NULL
LbWda2,No - just black,NULL
EXQLWN,NULL,NULL
2eNLJg,NULL,NULL
xpa2K9,NULL,NULL
V00RoJ,NULL,NULL
7WWB4A,Milk,NULL
7WWB4A,dairy alternative,NULL
7WWB4A,or coffee creamer,NULL
7WWB4A,Sugar or sweetener,NULL
7WWB4A,Flavor syrup,NULL
pKL8aB,No - just black,NULL
Zd694B,No - just black,NULL
Zd694B,Milk,NULL
Zd694B,dairy alternative,NULL
Zd694B,or coffee creamer,NULL
QAeYZY,No - just black,NULL
QA5JYA,Milk,NULL
QA5JYA,dairy alternative,NULL
QA5JYA,or coffee creamer,NULL
QA5JYA,Sugar or sweetener,NULL
Rz5BPj,NULL,NULL
jyDqva,Milk,NULL
jyDqva,dairy alternative,NULL
jyDqva,or coffee creamer,NULL
eB7QoJ,NULL,NULL
24xzlg,No - just black,NULL
DVvoqX,Milk,NULL
DVvoqX,dairy alternative,NULL
DVvoqX,or coffee creamer,NULL
1r2YJQ,No - just black,NULL
24xYOV,No - just black,NULL
AlbYao,Flavor syrup,NULL
AlbYao,Milk,NULL
AlbYao,dairy alternative,NULL
AlbYao,or coffee creamer,NULL
J2krYz,No - just black,NULL
WAp6ak,NULL,NULL
aBr18q,NULL,NULL
42NYWO,NULL,NULL
6dQ08e,Milk,NULL
6dQ08e,dairy alternative,NULL
6dQ08e,or coffee creamer,NULL
J2kj9J,No - just black,NULL
8dpDNA,No - just black,NULL
EPbVlL,No - just black,NULL
ylqbBg,No - just black,NULL
vNx6A4,NULL,NULL
KMB2og,No - just black,NULL
qbEQPO,No - just black,NULL
9dJ0O5,No - just black,NULL
9dJ0O5,Milk,NULL
9dJ0O5,dairy alternative,NULL
9dJ0O5,or coffee creamer,NULL
BGboZR,No - just black,NULL
BGboZR,Milk,NULL
BGboZR,dairy alternative,NULL
BGboZR,or coffee creamer,NULL
BGboZR,Sugar or sweetener,NULL
oAVNdO,No - just black,NULL
YZzBdN,No - just black,NULL
VZ17Z6,No - just black,NULL
RzBeZj,No - just black,NULL
0Ej0GZ,Milk,NULL
0Ej0GZ,dairy alternative,NULL
0Ej0GZ,or coffee creamer,NULL
0Ej0GZ,Sugar or sweetener,NULL
0Ej0GZ,No - just black,NULL
eBxO4l,NULL,NULL
WApbkQ,Milk,NULL
WApbkQ,dairy alternative,NULL
WApbkQ,or coffee creamer,NULL
0Ej0WA,No - just black,NULL
9dJYlQ,Milk,NULL
9dJYlQ,dairy alternative,NULL
9dJYlQ,or coffee creamer,NULL
BGbJzQ,Milk,NULL
BGbJzQ,dairy alternative,NULL
BGbJzQ,or coffee creamer,NULL
BGbJzQ,Sugar or sweetener,NULL
BGbJzQ,Flavor syrup,NULL
OABqpR,Milk,NULL
OABqpR,dairy alternative,NULL
OABqpR,or coffee creamer,NULL
bl41Zg,Sugar or sweetener,NULL
GrBVrk,No - just black,NULL
WApbYk,Milk,NULL
WApbYk,dairy alternative,NULL
WApbYk,or coffee creamer,NULL
eBxG20,No - just black,NULL
24x9NA,No - just black,Occasionally I will add collagen powder if I made instant coffee
24x9NA,Other,Occasionally I will add collagen powder if I made instant coffee
NAB2qB,No - just black,NULL
RzBqoJ,No - just black,NULL
jB98xY,NULL,NULL
LdMxB2,Milk,NULL
LdMxB2,dairy alternative,NULL
LdMxB2,or coffee creamer,NULL
GrBOrz,Milk,NULL
GrBOrz,dairy alternative,NULL
GrBOrz,or coffee creamer,NULL
GrBOrz,No - just black,NULL
5dqajd,No - just black,NULL
VZ1W0E,No - just black,NULL
NABN5G,No - just black,NULL
6dQY8o,No - just black,NULL
WAp6va,Milk,NULL
WAp6va,dairy alternative,NULL
WAp6va,or coffee creamer,NULL
EPbVGA,Milk,NULL
EPbVGA,dairy alternative,NULL
EPbVGA,or coffee creamer,NULL
EPbVGA,Sugar or sweetener,NULL
OABqQp,Sugar or sweetener,NULL
OABqQp,Milk,NULL
OABqQp,dairy alternative,NULL
OABqQp,or coffee creamer,NULL
OABqQp,No - just black,NULL
DVvOop,Other,Coconut
KMBrLz,Milk,NULL
KMBrLz,dairy alternative,NULL
KMBrLz,or coffee creamer,NULL
KMBrLz,No - just black,NULL
jB9r21,Milk,NULL
jB9r21,dairy alternative,NULL
jB9r21,or coffee creamer,NULL
pLPYLE,Milk,NULL
pLPYLE,dairy alternative,NULL
pLPYLE,or coffee creamer,NULL
oAV8yX,Milk,NULL
oAV8yX,dairy alternative,NULL
oAV8yX,or coffee creamer,NULL
aBrp0W,No - just black,NULL
aBrp0W,Sugar or sweetener,NULL
aBrp0W,Milk,NULL
aBrp0W,dairy alternative,NULL
aBrp0W,or coffee creamer,NULL
g5NPxK,No - just black,NULL
g5NPxK,Milk,NULL
g5NPxK,dairy alternative,NULL
g5NPxK,or coffee creamer,NULL
bl41kE,Milk,NULL
bl41kE,dairy alternative,NULL
bl41kE,or coffee creamer,NULL
GrBO1z,Milk,NULL
GrBO1z,dairy alternative,NULL
GrBO1z,or coffee creamer,NULL
xdN8Q9,No - just black,NULL
vNx8Xv,Milk,NULL
vNx8Xv,dairy alternative,NULL
vNx8Xv,or coffee creamer,NULL
dY2JPN,Milk,NULL
dY2JPN,dairy alternative,NULL
dY2JPN,or coffee creamer,NULL
MAdjLE,No - just black,NULL
6dQ6xo,Milk,NULL
6dQ6xo,dairy alternative,NULL
6dQ6xo,or coffee creamer,NULL
7d97lZ,No - just black,NULL
0EjqPQ,No - just black,NULL
BGbJD4,No - just black,NULL
9dJYbp,Milk,NULL
9dJYbp,dairy alternative,NULL
9dJYbp,or coffee creamer,NULL
9dJYbp,No - just black,NULL
xdNbJ9,No - just black,NULL
EPbVLl,No - just black,NULL
pLPNQJ,No - just black,NULL
AlbMLW,No - just black,NULL
EPboPq,Milk,NULL
EPboPq,dairy alternative,NULL
EPboPq,or coffee creamer,NULL
ylq8yW,No - just black,NULL
J2kEDz,No - just black,NULL
J2kEDz,Milk,NULL
J2kEDz,dairy alternative,NULL
J2kEDz,or coffee creamer,NULL
24x9Lg,No - just black,NULL
0EjYb6,No - just black,NULL
ZdRb6a,No - just black,NULL
ZdRb6a,Milk,NULL
ZdRb6a,dairy alternative,NULL
ZdRb6a,or coffee creamer,NULL
WApbdP,No - just black,NULL
24xY69,Milk,NULL
24xY69,dairy alternative,NULL
24xY69,or coffee creamer,NULL
RzBqWd,No - just black,NULL
RzBqLv,No - just black,NULL
oAV8d5,No - just black,NULL
oAV8OM,No - just black,NULL
AlbYyW,Sugar or sweetener,NULL
KMB4kk,Milk,NULL
KMB4kk,dairy alternative,NULL
KMB4kk,or coffee creamer,NULL
KMB4kk,No - just black,NULL
42N0Kd,Milk,NULL
42N0Kd,dairy alternative,NULL
42N0Kd,or coffee creamer,NULL
42N0Kd,Flavor syrup,NULL
0Ej0VZ,Milk,NULL
0Ej0VZ,dairy alternative,NULL
0Ej0VZ,or coffee creamer,NULL
0Ej0VZ,Sugar or sweetener,NULL
rlrQQo,Milk,NULL
rlrQQo,dairy alternative,NULL
rlrQQo,or coffee creamer,NULL
vNx84X,No - just black,NULL
vNx84X,Milk,NULL
vNx84X,dairy alternative,NULL
vNx84X,or coffee creamer,NULL
OABxLk,No - just black,NULL
MAd2V0,No - just black,NULL
8dpbGk,No - just black,NULL
zKQ8ja,Milk,NULL
zKQ8ja,dairy alternative,NULL
zKQ8ja,or coffee creamer,NULL
zKQ8ja,No - just black,NULL
YZzBLJ,Milk,NULL
YZzBLJ,dairy alternative,NULL
YZzBLJ,or coffee creamer,NULL
YZzBLJ,Sugar or sweetener,NULL
QABNdl,Sugar or sweetener,NULL
QABNdl,Milk,NULL
QABNdl,dairy alternative,NULL
QABNdl,or coffee creamer,NULL
8dpbko,No - just black,NULL
XeB6Ee,No - just black,NULL
KMBroK,Milk,NULL
KMBroK,dairy alternative,NULL
KMBroK,or coffee creamer,NULL
24x9rg,No - just black,NULL
dY2JjD,No - just black,NULL
dY2JjD,Milk,NULL
dY2JjD,dairy alternative,NULL
dY2JjD,or coffee creamer,NULL
LdMjyz,No - just black,NULL
9dJYM1,No - just black,NULL
kYR4rj,No - just black,NULL
pLPN7q,No - just black,NULL
6dQ0eO,Milk,NULL
6dQ0eO,dairy alternative,NULL
6dQ0eO,or coffee creamer,NULL
6dQ0eO,Sugar or sweetener,NULL
42NlLd,No - just black,NULL
LdMxaj,No - just black,NULL
BGbJZ4,No - just black,NULL
BGbJZ4,Milk,NULL
BGbJZ4,dairy alternative,NULL
BGbJZ4,or coffee creamer,NULL
J2kER7,Milk,NULL
J2kER7,dairy alternative,NULL
J2kER7,or coffee creamer,NULL
eBxgQO,Sugar or sweetener,NULL
eBxgQO,Milk,NULL
eBxgQO,dairy alternative,NULL
eBxgQO,or coffee creamer,NULL
eBxgQO,Flavor syrup,NULL
J2kELz,No - just black,NULL
J2kELz,Sugar or sweetener,NULL
LdMjqJ,Milk,NULL
LdMjqJ,dairy alternative,NULL
LdMjqJ,or coffee creamer,NULL
oAVNeM,No - just black,NULL
oAVZ95,No - just black,NULL
eBxGvE,No - just black,NULL
g5NPYO,Milk,NULL
g5NPYO,dairy alternative,NULL
g5NPYO,or coffee creamer,NULL
xdNbxo,Milk,NULL
xdNbxo,dairy alternative,NULL
xdNbxo,or coffee creamer,NULL
zKQ8ZZ,No - just black,NULL
rlrQxl,No - just black,NULL
rlrQxl,Milk,NULL
rlrQxl,dairy alternative,NULL
rlrQxl,or coffee creamer,NULL
VZ1W8N,No - just black,NULL
WAp6PN,No - just black,NULL
DVvo9l,No - just black,NULL
DVvo9l,Milk,NULL
DVvo9l,dairy alternative,NULL
DVvo9l,or coffee creamer,NULL
DVvo9l,Sugar or sweetener,NULL
DVvo9l,Flavor syrup,NULL
ylqAdB,No - just black,NULL
rlrQP2,No - just black,NULL
EPbo0L,No - just black,NULL
ylqAY6,No - just black,NULL
AlbR7B,No - just black,NULL
EPbVxA,No - just black,NULL
EPbVxA,Flavor syrup,NULL
BGboo4,No - just black,NULL
dY2GGD,Milk,NULL
dY2GGD,dairy alternative,NULL
dY2GGD,or coffee creamer,NULL
oAV8o5,Milk,NULL
oAV8o5,dairy alternative,NULL
oAV8o5,or coffee creamer,NULL
WApa9N,Sugar or sweetener,NULL
BGbJE5,Milk,NULL
BGbJE5,dairy alternative,NULL
BGbJE5,or coffee creamer,NULL
BGbJE5,Sugar or sweetener,NULL
0EjzA9,No - just black,NULL
vNx6YX,Milk,NULL
vNx6YX,dairy alternative,NULL
vNx6YX,or coffee creamer,NULL
WApaAQ,No - just black,NULL
WApaAQ,Milk,NULL
WApaAQ,dairy alternative,NULL
WApaAQ,or coffee creamer,NULL
J2krZX,No - just black,NULL
oAVN6V,No - just black,NULL
VZ1WVN,No - just black,NULL
42Nlko,No - just black,NULL
RzBq4P,No - just black,NULL
1r2QM4,No - just black,NULL
LdM4d2,Milk,NULL
LdM4d2,dairy alternative,NULL
LdM4d2,or coffee creamer,NULL
LdM4d2,No - just black,NULL
42N0dB,Milk,NULL
42N0dB,dairy alternative,NULL
42N0dB,or coffee creamer,NULL
jB98M9,No - just black,NULL
1r205O,Milk,NULL
1r205O,dairy alternative,NULL
1r205O,or coffee creamer,NULL
5dq0yE,No - just black,NULL
YZzb4N,No - just black,NULL
QABq7Y,No - just black,NULL
PABQDd,No - just black,NULL
9dJY7E,Milk,NULL
9dJY7E,dairy alternative,NULL
9dJY7E,or coffee creamer,NULL
9dJY7E,Sugar or sweetener,NULL
24xYgM,No - just black,NULL
KMB25K,No - just black,NULL
RzBqzP,NULL,NULL
GrBEvo,No - just black,NULL
GrBEvo,Milk,NULL
GrBEvo,dairy alternative,NULL
GrBEvo,or coffee creamer,NULL
rlrQrv,No - just black,NULL
rlrQrv,Milk,NULL
rlrQrv,dairy alternative,NULL
rlrQrv,or coffee creamer,NULL
LdMxpz,No - just black,NULL
ZdRblA,Milk,NULL
ZdRblA,dairy alternative,NULL
ZdRblA,or coffee creamer,NULL
bl4My7,No - just black,NULL
XeB72d,Milk,NULL
XeB72d,dairy alternative,NULL
XeB72d,or coffee creamer,NULL
zKQBXq,No - just black,NULL
rlr9Yv,Sugar or sweetener,NULL
rlr9Yv,Milk,NULL
rlr9Yv,dairy alternative,NULL
rlr9Yv,or coffee creamer,NULL
dY2GNy,Milk,NULL
dY2GNy,dairy alternative,NULL
dY2GNy,or coffee creamer,NULL
zKQA18,Milk,NULL
zKQA18,dairy alternative,NULL
zKQA18,or coffee creamer,NULL
zKQA18,Sugar or sweetener,NULL
ZdRAAV,Milk,NULL
ZdRAAV,dairy alternative,NULL
ZdRAAV,or coffee creamer,NULL
ZdRAAV,Sugar or sweetener,NULL
VZ17Ev,No - just black,NULL
NAB2Ab,No - just black,NULL
rlr9yM,No - just black,NULL
rlr9yM,Milk,NULL
rlr9yM,dairy alternative,NULL
rlr9yM,or coffee creamer,NULL
5dqYbv,No - just black,NULL
5dqYbv,Milk,NULL
5dqYbv,dairy alternative,NULL
5dqYbv,or coffee creamer,NULL
AlbRKW,No - just black,NULL
ylqb6X,Milk,NULL
ylqb6X,dairy alternative,NULL
ylqb6X,or coffee creamer,NULL
dY2o6d,Milk,NULL
dY2o6d,dairy alternative,NULL
dY2o6d,or coffee creamer,NULL
dY2oKz,Milk,NULL
dY2oKz,dairy alternative,NULL
dY2oKz,or coffee creamer,NULL
oAVN61,Milk,NULL
oAVN61,dairy alternative,NULL
oAVN61,or coffee creamer,NULL
rlr9yv,No - just black,NULL
kYR4Nr,Milk,NULL
kYR4Nr,dairy alternative,NULL
kYR4Nr,or coffee creamer,NULL
kYR4Nr,Flavor syrup,NULL
zKQ4kq,No - just black,NULL
RzBeoP,No - just black,NULL
24xYJL,No - just black,NULL
24xYJL,Milk,NULL
24xYJL,dairy alternative,NULL
24xYJL,or coffee creamer,NULL
