submission_id,dairy
gMR29l,NULL
BkPN0e,NULL
W5G8jj,NULL
4xWgGr,NULL
QD27Q8,NULL
V0LPeM,NULL
V0Gaxg,NULL
AdzRL0,NULL
LbWda2,NULL
EXQLWN,NULL
2eNLJg,NULL
xpa2K9,NULL
V00RoJ,NULL
7WWB4A,NULL
pKL8aB,NULL
Zd694B,Whole milk
QAeYZY,NULL
QA5JYA,Half and half
Rz5BPj,NULL
jyDqva,Oat milk
eB7QoJ,NULL
24xzlg,NULL
DVvoqX,Oat milk
1r2YJQ,NULL
24xYOV,NULL
AlbYao,Whole milk
J2krYz,NULL
WAp6ak,NULL
aBr18q,NULL
42NYWO,NULL
6dQ08e,Whole milk
J2kj9J,NULL
8dpDNA,NULL
EPbVlL,NULL
ylqbBg,NULL
vNx6A4,NULL
KMB2og,NULL
qbEQPO,NULL
9dJ0O5,Whole milk
BGboZR,Whole milk
oAVNdO,NULL
YZzBdN,NULL
VZ17Z6,NULL
RzBeZj,NULL
0Ej0GZ,Skim milk
0Ej0GZ,Oat milk
eBxO4l,NULL
WApbkQ,Whole milk
0Ej0WA,NULL
9dJYlQ,Half and half
BGbJzQ,Whole milk
BGbJzQ,Half and half
OABqpR,Almond milk
bl41Zg,NULL
GrBVrk,NULL
WApbYk,Oat milk
WApbYk,Soy milk
eBxG20,NULL
24x9NA,NULL
NAB2qB,NULL
RzBqoJ,NULL
jB98xY,NULL
LdMxB2,Oat milk
LdMxB2,Soy milk
GrBOrz,Oat milk
5dqajd,NULL
VZ1W0E,NULL
NABN5G,NULL
6dQY8o,NULL
WAp6va,Half and half
EPbVGA,NULL
OABqQp,Whole milk
OABqQp,Half and half
OABqQp,Flavored coffee creamer
DVvOop,NULL
KMBrLz,Skim milk
jB9r21,Whole milk
pLPYLE,Half and half
oAV8yX,Whole milk
aBrp0W,Flavored coffee creamer
g5NPxK,Oat milk
bl41kE,Half and half
GrBO1z,Half and half
GrBO1z,Whole milk
xdN8Q9,NULL
vNx8Xv,Oat milk
dY2JPN,Coffee creamer
MAdjLE,NULL
6dQ6xo,Skim milk
7d97lZ,NULL
0EjqPQ,NULL
BGbJD4,NULL
9dJYbp,Whole milk
xdNbJ9,NULL
EPbVLl,NULL
pLPNQJ,NULL
AlbMLW,NULL
EPboPq,Whole milk
ylq8yW,NULL
J2kEDz,Coffee creamer
24x9Lg,NULL
0EjYb6,NULL
ZdRb6a,Whole milk
