submission_id,additions
gMR29l,No - just black
BkPN0e,Sugar or sweetener
BkPN0e,No - just black
W5G8jj,No - just black
4xWgGr,No - just black
4xWgGr,Cinnamon
QD27Q8,No - just black
V0LPeM,Half & half
V0Gaxg,No - just black
LbWda2,No - just black
7WWB4A,Milk
7WWB4A,dairy alternative
7WWB4A,or coffee creamer
7WWB4A,Sugar or sweetener
7WWB4A,Flavor syrup
pKL8aB,No - just black
Zd694B,No - just black
Zd694B,Milk
Zd694B,dairy alternative
Zd694B,or coffee creamer
QAeYZY,No - just black
QA5JYA,Milk
QA5JYA,dairy alternative
QA5JYA,or coffee creamer
QA5JYA,Sugar or sweetener
jyDqva,Milk
jyDqva,dairy alternative
jyDqva,or coffee creamer
24xzlg,No - just black
DVvoqX,Milk
DVvoqX,dairy alternative
DVvoqX,or coffee creamer
1r2YJQ,No - just black
24xYOV,No - just black
AlbYao,Flavor syrup
AlbYao,Milk
AlbYao,dairy alternative
AlbYao,or coffee creamer
J2krYz,No - just black
6dQ08e,Milk
6dQ08e,dairy alternative
6dQ08e,or coffee creamer
J2kj9J,No - just black
8dpDNA,No - just black
EPbVlL,No - just black
ylqbBg,No - just black
KMB2og,No - just black
qbEQPO,No - just black
9dJ0O5,No - just black
9dJ0O5,Milk
9dJ0O5,dairy alternative
9dJ0O5,or coffee creamer
BGboZR,No - just black
BGboZR,Milk
BGboZR,dairy alternative
BGboZR,or coffee creamer
BGboZR,Sugar or sweetener
oAVNdO,No - just black
YZzBdN,No - just black
VZ17Z6,No - just black
RzBeZj,No - just black
0Ej0GZ,Milk
0Ej0GZ,dairy alternative
0Ej0GZ,or coffee creamer
0Ej0GZ,Sugar or sweetener
0Ej0GZ,No - just black
WApbkQ,Milk
WApbkQ,dairy alternative
WApbkQ,or coffee creamer
0Ej0WA,No - just black
9dJYlQ,Milk
9dJYlQ,dairy alternative
9dJYlQ,or coffee creamer
BGbJzQ,Milk
BGbJzQ,dairy alternative
BGbJzQ,or coffee creamer
BGbJzQ,Sugar or sweetener
BGbJzQ,Flavor syrup
OABqpR,Milk
OABqpR,dairy alternative
OABqpR,or coffee creamer
bl41Zg,Sugar or sweetener
GrBVrk,No - just black
WApbYk,Milk
WApbYk,dairy alternative
WApbYk,or coffee creamer
eBxG20,No - just black
24x9NA,No - just black
24x9NA,Other
NAB2qB,No - just black
RzBqoJ,No - just black
LdMxB2,Milk
LdMxB2,dairy alternative
LdMxB2,or coffee creamer
GrBOrz,Milk
GrBOrz,dairy alternative
GrBOrz,or coffee creamer
GrBOrz,No - just black
5dqajd,No - just black
VZ1W0E,No - just black
NABN5G,No - just black
6dQY8o,No - just black
WAp6va,Milk
WAp6va,dairy alternative
WAp6va,or coffee creamer
EPbVGA,Milk
EPbVGA,dairy alternative
EPbVGA,or coffee creamer
EPbVGA,Sugar or sweetener
OABqQp,Sugar or sweetener
OABqQp,Milk
OABqQp,dairy alternative
OABqQp,or coffee creamer
OABqQp,No - just black
DVvOop,Other
KMBrLz,Milk
KMBrLz,dairy alternative
KMBrLz,or coffee creamer
KMBrLz,No - just black
jB9r21,Milk
jB9r21,dairy alternative
jB9r21,or coffee creamer
pLPYLE,Milk
pLPYLE,dairy alternative
pLPYLE,or coffee creamer
oAV8yX,Milk
oAV8yX,dairy alternative
oAV8yX,or coffee creamer
aBrp0W,No - just black
aBrp0W,Sugar or sweetener
aBrp0W,Milk
aBrp0W,dairy alternative
aBrp0W,or coffee creamer
g5NPxK,No - just black
g5NPxK,Milk
g5NPxK,dairy alternative
g5NPxK,or coffee creamer
bl41kE,Milk
bl41kE,dairy alternative
bl41kE,or coffee creamer
GrBO1z,Milk
GrBO1z,dairy alternative
GrBO1z,or coffee creamer
xdN8Q9,No - just black
vNx8Xv,Milk
vNx8Xv,dairy alternative
vNx8Xv,or coffee creamer
dY2JPN,Milk
dY2JPN,dairy alternative
dY2JPN,or coffee creamer
MAdjLE,No - just black
6dQ6xo,Milk
6dQ6xo,dairy alternative
6dQ6xo,or coffee creamer
7d97lZ,No - just black
0EjqPQ,No - just black
BGbJD4,No - just black
9dJYbp,Milk
9dJYbp,dairy alternative
9dJYbp,or coffee creamer
9dJYbp,No - just black
xdNbJ9,No - just black
EPbVLl,No - just black
pLPNQJ,No - just black
AlbMLW,No - just black
EPboPq,Milk
EPboPq,dairy alternative
EPboPq,or coffee creamer
ylq8yW,No - just black
J2kEDz,No - just black
J2kEDz,Milk
J2kEDz,dairy alternative
J2kEDz,or coffee creamer
24x9Lg,No - just black
0EjYb6,No - just black
ZdRb6a,No - just black
ZdRb6a,Milk
ZdRb6a,dairy alternative
ZdRb6a,or coffee creamer
WApbdP,No - just black
24xY69,Milk
24xY69,dairy alternative
24xY69,or coffee creamer
RzBqWd,No - just black
RzBqLv,No - just black
oAV8d5,No - just black
oAV8OM,No - just black
AlbYyW,Sugar or sweetener
KMB4kk,Milk
KMB4kk,dairy alternative
KMB4kk,or coffee creamer
KMB4kk,No - just black
42N0Kd,Milk
42N0Kd,dairy alternative
42N0Kd,or coffee creamer
42N0Kd,Flavor syrup
0Ej0VZ,Milk
0Ej0VZ,dairy alternative
0Ej0VZ,or coffee creamer
0Ej0VZ,Sugar or sweetener
rlrQQo,Milk
rlrQQo,dairy alternative
rlrQQo,or coffee creamer
vNx84X,No - just black
vNx84X,Milk
vNx84X,dairy alternative
vNx84X,or coffee creamer
OABxLk,No - just black
MAd2V0,No - just black
8dpbGk,No - just black
zKQ8ja,Milk
zKQ8ja,dairy alternative
zKQ8ja,or coffee creamer
zKQ8ja,No - just black
YZzBLJ,Milk
YZzBLJ,dairy alternative
YZzBLJ,or coffee creamer
YZzBLJ,Sugar or sweetener
QABNdl,Sugar or sweetener
QABNdl,Milk
QABNdl,dairy alternative
QABNdl,or coffee creamer
8dpbko,No - just black
XeB6Ee,No - just black
KMBroK,Milk
KMBroK,dairy alternative
KMBroK,or coffee creamer
24x9rg,No - just black
dY2JjD,No - just black
dY2JjD,Milk
dY2JjD,dairy alternative
dY2JjD,or coffee creamer
LdMjyz,No - just black
9dJYM1,No - just black
kYR4rj,No - just black
pLPN7q,No - just black
6dQ0eO,Milk
6dQ0eO,dairy alternative
6dQ0eO,or coffee creamer
6dQ0eO,Sugar or sweetener
42NlLd,No - just black
LdMxaj,No - just black
BGbJZ4,No - just black
BGbJZ4,Milk
BGbJZ4,dairy alternative
BGbJZ4,or coffee creamer
J2kER7,Milk
J2kER7,dairy alternative
J2kER7,or coffee creamer
eBxgQO,Sugar or sweetener
eBxgQO,Milk
eBxgQO,dairy alternative
eBxgQO,or coffee creamer
eBxgQO,Flavor syrup
J2kELz,No - just black
J2kELz,Sugar or sweetener
LdMjqJ,Milk
LdMjqJ,dairy alternative
LdMjqJ,or coffee creamer
oAVNeM,No - just black
oAVZ95,No - just black
eBxGvE,No - just black
g5NPYO,Milk
g5NPYO,dairy alternative
g5NPYO,or coffee creamer
xdNbxo,Milk
xdNbxo,dairy alternative
xdNbxo,or coffee creamer
zKQ8ZZ,No - just black
rlrQxl,No - just black
rlrQxl,Milk
rlrQxl,dairy alternative
rlrQxl,or coffee creamer
VZ1W8N,No - just black
WAp6PN,No - just black
DVvo9l,No - just black
DVvo9l,Milk
DVvo9l,dairy alternative
DVvo9l,or coffee creamer
DVvo9l,Sugar or sweetener
DVvo9l,Flavor syrup
ylqAdB,No - just black
rlrQP2,No - just black
EPbo0L,No - just black
ylqAY6,No - just black
AlbR7B,No - just black
EPbVxA,No - just black
EPbVxA,Flavor syrup
BGboo4,No - just black
dY2GGD,Milk
dY2GGD,dairy alternative
dY2GGD,or coffee creamer
oAV8o5,Milk
oAV8o5,dairy alternative
oAV8o5,or coffee creamer
WApa9N,Sugar or sweetener
BGbJE5,Milk
BGbJE5,dairy alternative
BGbJE5,or coffee creamer
BGbJE5,Sugar or sweetener
0EjzA9,No - just black
vNx6YX,Milk
vNx6YX,dairy alternative
vNx6YX,or coffee creamer
WApaAQ,No - just black
WApaAQ,Milk
WApaAQ,dairy alternative
WApaAQ,or coffee creamer
J2krZX,No - just black
oAVN6V,No - just black
VZ1WVN,No - just black
42Nlko,No - just black
RzBq4P,No - just black
1r2QM4,No - just black
LdM4d2,Milk
LdM4d2,dairy alternative
LdM4d2,or coffee creamer
LdM4d2,No - just black
42N0dB,Milk
42N0dB,dairy alternative
42N0dB,or coffee creamer
jB98M9,No - just black
1r205O,Milk
1r205O,dairy alternative
1r205O,or coffee creamer
5dq0yE,No - just black
YZzb4N,No - just black
QABq7Y,No - just black
PABQDd,No - just black
9dJY7E,Milk
9dJY7E,dairy alternative
9dJY7E,or coffee creamer
9dJY7E,Sugar or sweetener
24xYgM,No - just black
KMB25K,No - just black
GrBEvo,No - just black
GrBEvo,Milk
GrBEvo,dairy alternative
GrBEvo,or coffee creamer
rlrQrv,No - just black
rlrQrv,Milk
rlrQrv,dairy alternative
rlrQrv,or coffee creamer
LdMxpz,No - just black
ZdRblA,Milk
ZdRblA,dairy alternative
ZdRblA,or coffee creamer
bl4My7,No - just black
XeB72d,Milk
XeB72d,dairy alternative
XeB72d,or coffee creamer
zKQBXq,No - just black
rlr9Yv,Sugar or sweetener
rlr9Yv,Milk
rlr9Yv,dairy alternative
rlr9Yv,or coffee creamer
dY2GNy,Milk
dY2GNy,dairy alternative
dY2GNy,or coffee creamer
zKQA18,Milk
zKQA18,dairy alternative
zKQA18,or coffee creamer
zKQA18,Sugar or sweetener
ZdRAAV,Milk
ZdRAAV,dairy alternative
ZdRAAV,or coffee creamer
ZdRAAV,Sugar or sweetener
VZ17Ev,No - just black
NAB2Ab,No - just black
rlr9yM,No - just black
rlr9yM,Milk
rlr9yM,dairy alternative
rlr9yM,or coffee creamer
5dqYbv,No - just black
5dqYbv,Milk
5dqYbv,dairy alternative
5dqYbv,or coffee creamer
AlbRKW,No - just black
ylqb6X,Milk
ylqb6X,dairy alternative
ylqb6X,or coffee creamer
dY2o6d,Milk
dY2o6d,dairy alternative
dY2o6d,or coffee creamer
dY2oKz,Milk
dY2oKz,dairy alternative
dY2oKz,or coffee creamer
oAVN61,Milk
oAVN61,dairy alternative
oAVN61,or coffee creamer
rlr9yv,No - just black
kYR4Nr,Milk
kYR4Nr,dairy alternative
kYR4Nr,or coffee creamer
kYR4Nr,Flavor syrup
zKQ4kq,No - just black
RzBeoP,No - just black
24xYJL,No - just black
24xYJL,Milk
24xYJL,dairy alternative
24xYJL,or coffee creamer
ZdRAWA,No - just black
rlr9OL,Milk
rlr9OL,dairy alternative
rlr9OL,or coffee creamer
PABQdQ,Milk
PABQdQ,dairy alternative
PABQdQ,or coffee creamer
1r20NQ,No - just black
qbEqj2,Milk
qbEqj2,dairy alternative
qbEqj2,or coffee creamer
g5NV9P,No - just black
g5NV9P,Milk
g5NV9P,dairy alternative
g5NV9P,or coffee creamer
42NY8Y,No - just black
GrBVJp,No - just black
GrBVJp,Milk
GrBVJp,dairy alternative
GrBVJp,or coffee creamer
7d90RL,No - just black
lNl8WV,Milk
lNl8WV,dairy alternative
lNl8WV,or coffee creamer
lNl8WV,Sugar or sweetener
vNxaEA,Milk
vNxaEA,dairy alternative
vNxaEA,or coffee creamer
0EjY5P,No - just black
eBxO5q,Milk
eBxO5q,dairy alternative
eBxO5q,or coffee creamer
eBxO5q,Sugar or sweetener
blx47Z,No - just black
blx47Z,Milk
blx47Z,dairy alternative
blx47Z,or coffee creamer
blx47Z,Sugar or sweetener
lNlXyB,Milk
lNlXyB,dairy alternative
lNlXyB,or coffee creamer
lNlXyB,Sugar or sweetener
1r2Yx4,No - just black
1r20WM,No - just black
1r20WM,Milk
1r20WM,dairy alternative
1r20WM,or coffee creamer
J2krad,No - just black
DVvo05,Milk
DVvo05,dairy alternative
DVvo05,or coffee creamer
VZ1aJj,No - just black
42N0ab,No - just black
aBrJxZ,Milk
aBrJxZ,dairy alternative
aBrJxZ,or coffee creamer
aBrJxZ,Sugar or sweetener
9dJ0qG,No - just black
PABN1x,No - just black
8dpDDk,No - just black
qA2y0O,Milk
qA2y0O,dairy alternative
qA2y0O,or coffee creamer
V0ELg6,Milk
V0ELg6,dairy alternative
V0ELg6,or coffee creamer
V0ELg6,Sugar or sweetener
zKQ8Qg,No - just black
VZ1WYN,Milk
VZ1WYN,dairy alternative
VZ1WYN,or coffee creamer
VZ1WYN,No - just black
jB98W1,Milk
jB98W1,dairy alternative
jB98W1,or coffee creamer
rlr82o,No - just black
vNx8El,No - just black
jB98WY,No - just black
LdM4Op,No - just black
qbE8gG,No - just black
bl41zZ,No - just black
xdN8yk,No - just black
rlr8LX,Flavor syrup
rlr8LX,Sugar or sweetener
rlr8LX,Milk
rlr8LX,dairy alternative
rlr8LX,or coffee creamer
jB98ga,Milk
jB98ga,dairy alternative
jB98ga,or coffee creamer
jB98ga,Sugar or sweetener
pLPY01,Milk
pLPY01,dairy alternative
pLPY01,or coffee creamer
pLPY01,Sugar or sweetener
GrBODO,No - just black
7d97a0,No - just black
WApale,No - just black
0EjqlN,Milk
0EjqlN,dairy alternative
0EjqlN,or coffee creamer
0EjqlN,Sugar or sweetener
oAV8dN,No - just black
0Ejqaj,No - just black
5dqaeZ,No - just black
g5N8v4,No - just black
oAV8lb,No - just black
AlbMyz,No - just black
jB9871,Milk
jB9871,dairy alternative
jB9871,or coffee creamer
9dJA2E,No - just black
PABZBx,No - just black
DVvRWR,No - just black
dY2JDV,No - just black
bl41Y1,Milk
bl41Y1,dairy alternative
bl41Y1,or coffee creamer
rlr8vR,No - just black
xdN89d,No - just black
xdN89d,Milk
xdN89d,dairy alternative
xdN89d,or coffee creamer
kYR8Jo,No - just black
YZz7xW,No - just black
RzBq29,No - just black
24x9DD,No - just black
rlr8k2,No - just black
7d97ER,No - just black
GrBOBO,No - just black
42NlPr,No - just black
XeB6OP,Milk
XeB6OP,dairy alternative
XeB6OP,or coffee creamer
XeB6OP,Flavor syrup
VZ1W4y,No - just black
kYR8ve,No - just black
YZz7oN,No - just black
OABxYM,No - just black
OABxYM,Milk
OABxYM,dairy alternative
OABxYM,or coffee creamer
xdN8lv,No - just black
eBxgYk,Milk
eBxgYk,dairy alternative
eBxgYk,or coffee creamer
RzBqj9,Milk
RzBqj9,dairy alternative
RzBqj9,or coffee creamer
RzBqj9,No - just black
RzBqj9,Flavor syrup
1r2QGg,No - just black
pLPYZJ,No - just black
MAdj6k,No - just black
OABxER,No - just black
BGbJ0K,No - just black
qbE8jO,No - just black
kYR8ze,Milk
kYR8ze,dairy alternative
kYR8ze,or coffee creamer
GrBODQ,No - just black
vNx8KD,No - just black
oAV8VN,No - just black
VZ1Wxg,No - just black
24x9Oe,No - just black
KMBrO8,Milk
KMBrO8,dairy alternative
KMBrO8,or coffee creamer
KMBrO8,No - just black
WApa1v,No - just black
bl41gL,No - just black
EPbovB,Milk
EPbovB,dairy alternative
EPbovB,or coffee creamer
EPbovB,Sugar or sweetener
ylq8e8,Milk
ylq8e8,dairy alternative
ylq8e8,or coffee creamer
24x9ZL,No - just black
MAdjGM,No - just black
24x9Zj,No - just black
rlr8kR,Milk
rlr8kR,dairy alternative
rlr8kR,or coffee creamer
g5N8pl,No - just black
rlr8qN,No - just black
ylq87g,No - just black
GrBO7Z,No - just black
GrBO7Z,Milk
GrBO7Z,dairy alternative
GrBO7Z,or coffee creamer
NAB2Rj,Milk
NAB2Rj,dairy alternative
NAB2Rj,or coffee creamer
NAB2Rj,No - just black
RzBqkj,No - just black
xdN86r,No - just black
9dJArQ,Milk
9dJArQ,dairy alternative
9dJArQ,or coffee creamer
EPboa4,No - just black
WApaQN,Milk
WApaQN,dairy alternative
WApaQN,or coffee creamer
42NlN5,No - just black
AlbM50,No - just black
AlbM50,Milk
AlbM50,dairy alternative
AlbM50,or coffee creamer
QABNap,Milk
QABNap,dairy alternative
