submission_id,additions_other
24x9NA,Occasionally I will add collagen powder if I made instant coffee
DVvOop,Coconut
NAB2Ol,Salt
MAdjVA,Coco
aBrq9b,water
xdN5ay,Salt/Saline
42NVjb,Collagen
zKQ5dk,Cinnamon
24xGy9,Salt
24xGzj,Espresso
24xGzj,pourover - black. Kcups at work - sweet cream creamer
42NVbO,I add just the tiniest amount of sugar and milk
42NVbO,about a half a teaspoon of sugar and a tablespoon of milk at the most.
BGbWNA,Stevia
BGbWNA,Butter Oil
BGbWNA,MCT Oil
YZzARv,Cinnamon
g5N6RK,I drink black coffee on weekdays to keep my morning routine simpler
g5N6RK,but on the weekends I like to experiment with milk and homemade syrups.
NABZl0,Half&Half or a few drips of cream... need that milkfat
NABZl0,not the water.
jB9Vk6,i dont drink coffee
RzB9kP,air
DVvG9l,Slim Fast meal replacement powder
QABZ2g,MCT oil
pLPEL1,Espresso: Black
pLPEL1,Instant: Creamer+Sugar
lNlxDk,Occasionally black with a tsp of genuine maple syrup
lNlxDk,amazing!
XeBX9e,For pour over use spicy chocolate
OAB6ER,Heavy Cream
OABvZY,Sometimes milk & sugar
OABvZY,sometimes black
WApxEL,Usually black
WApxEL,sometimes a little heavy cream.
LdE14p,I don't drink coffee.
KMPpk8,Don't drink coffee only espresso
g5QeBd,water
kY09M6,Frothed milk
PA29Rb,lavendar
vN0Pp0,Chocolate
PA2D2d,Heavy cream
bl2XQ0,I enjoy supplements in my coffee: a turmeric reishi ashwaganda blend
bl2XQ0,a collagen powder
bl2XQ0,and shilajit
pL0p0B,water
OAjRqk,usualy vanilla exctract
OAjRqk,sometimes a bit of salt
DVXQWR,Honey
xd9Vbv,Condensed milk
aBZOMB,Cinnamon or vanilla powder
dYQ0DA,Whipped cream
5dE9EP,Just black or with Choc and Sweetened condensed milk
OA8Yxa,condensed milk
ylegqW,Cinnamon
vNE2Zl,if it's not a good brew
vNE2Zl,I'll add a splash of oat milk and a little bit of honey
DVAAYl,Cinnamon
xdRgQy,Maple Syrup
aBlMgq,Heavy Whipping Cream
0EAKN6,Ice cream
PA44VP,golden milk recipe (turmeric+spice)
