submission_id,dairy
Zd694B,Whole milk
QA5JYA,Half and half
jyDqva,Oat milk
DVvoqX,Oat milk
AlbYao,Whole milk
6dQ08e,Whole milk
9dJ0O5,Whole milk
BGboZR,Whole milk
0Ej0GZ,Skim milk
0Ej0GZ,Oat milk
WApbkQ,Whole milk
9dJYlQ,Half and half
BGbJzQ,Whole milk
BGbJzQ,Half and half
OABqpR,Almond milk
WApbYk,Oat milk
WApbYk,Soy milk
LdMxB2,Oat milk
LdMxB2,Soy milk
GrBOrz,Oat milk
WAp6va,Half and half
OABqQp,Whole milk
OABqQp,Half and half
OABqQp,Flavored coffee creamer
KMBrLz,Skim milk
jB9r21,Whole milk
pLPYLE,Half and half
oAV8yX,Whole milk
aBrp0W,Flavored coffee creamer
g5NPxK,Oat milk
bl41kE,Half and half
GrBO1z,Half and half
GrBO1z,Whole milk
vNx8Xv,Oat milk
dY2JPN,Coffee creamer
6dQ6xo,Skim milk
9dJYbp,Whole milk
EPboPq,Whole milk
J2kEDz,Coffee creamer
ZdRb6a,Whole milk
ZdRb6a,Oat milk
24xY69,Half and half
KMB4kk,Skim milk
KMB4kk,Soy milk
42N0Kd,Whole milk
0Ej0VZ,Almond milk
0Ej0VZ,Skim milk
0Ej0VZ,Whole milk
rlrQQo,Oat milk
vNx84X,Whole milk
zKQ8ja,Whole milk
YZzBLJ,Whole milk
YZzBLJ,Flavored coffee creamer
QABNdl,Whole milk
KMBroK,Whole milk
KMBroK,Flavored coffee creamer
KMBroK,Oat milk
dY2JjD,Whole milk
6dQ0eO,Whole milk
6dQ0eO,Half and half
BGbJZ4,Half and half
J2kER7,Whole milk
eBxgQO,Whole milk
eBxgQO,Half and half
eBxgQO,Coffee creamer
LdMjqJ,Whole milk
g5NPYO,Oat milk
xdNbxo,Almond milk
rlrQxl,Half and half
rlrQxl,Whole milk
rlrQxl,Almond milk
DVvo9l,Whole milk
DVvo9l,Oat milk
dY2GGD,Whole milk
oAV8o5,Skim milk
BGbJE5,Flavored coffee creamer
BGbJE5,Coffee creamer
vNx6YX,Coffee creamer
WApaAQ,Oat milk
LdM4d2,Half and half
42N0dB,Flavored coffee creamer
1r205O,Oat milk
9dJY7E,Flavored coffee creamer
9dJY7E,Oat milk
9dJY7E,Coffee creamer
9dJY7E,Half and half
9dJY7E,Whole milk
9dJY7E,Soy milk
GrBEvo,Oat milk
GrBEvo,Whole milk
rlrQrv,Whole milk
ZdRblA,Whole milk
ZdRblA,Skim milk
ZdRblA,Oat milk
ZdRblA,Soy milk
XeB72d,Whole milk
rlr9Yv,Coffee creamer
rlr9Yv,Flavored coffee creamer
rlr9Yv,Whole milk
dY2GNy,Oat milk
zKQA18,Half and half
zKQA18,Whole milk
ZdRAAV,Coffee creamer
ZdRAAV,Oat milk
rlr9yM,Oat milk
5dqYbv,Whole milk
ylqb6X,Half and half
dY2o6d,Whole milk
dY2o6d,Oat milk
dY2oKz,Half and half
oAVN61,Oat milk
kYR4Nr,Whole milk
kYR4Nr,Skim milk
24xYJL,Oat milk
rlr9OL,Whole milk
rlr9OL,Half and half
rlr9OL,Almond milk
PABQdQ,Coffee creamer
qbEqj2,Skim milk
g5NV9P,Oat milk
GrBVJp,Skim milk
lNl8WV,Flavored coffee creamer
vNxaEA,Whole milk
vNxaEA,Oat milk
eBxO5q,Oat milk
blx47Z,Whole milk
blx47Z,Coffee creamer
lNlXyB,Half and half
1r20WM,Whole milk
1r20WM,Half and half
DVvo05,Whole milk
DVvo05,Half and half
aBrJxZ,Oat milk
qA2y0O,Whole milk
V0ELg6,Coffee creamer
VZ1WYN,Whole milk
jB98W1,Whole milk
rlr8LX,Oat milk
pLPY01,Half and half
0EjqlN,Oat milk
jB9871,Skim milk
bl41Y1,Coffee creamer
bl41Y1,Flavored coffee creamer
xdN89d,Almond milk
XeB6OP,Oat milk
OABxYM,Whole milk
eBxgYk,Whole milk
RzBqj9,Oat milk
RzBqj9,Flavored coffee creamer
kYR8ze,Almond milk
KMBrO8,Whole milk
EPbovB,Coffee creamer
EPbovB,Flavored coffee creamer
EPbovB,Half and half
ylq8e8,Oat milk
rlr8kR,Soy milk
GrBO7Z,Whole milk
NAB2Rj,Oat milk
9dJArQ,Oat milk
WApaQN,Oat milk
WApaQN,Whole milk
WApaQN,Almond milk
AlbM50,Oat milk
QABNap,Whole milk
dY2Jkd,Oat milk
lNl89W,Half and half
PABZGB,Half and half
RzBqjj,Half and half
ZdRbWo,Half and half
AlbMQD,Whole milk
KMBrkV,Whole milk
aBrpab,Flavored coffee creamer
aBrpab,Half and half
OABxVR,Half and half
oAV8kO,Half and half
qbE8NG,Skim milk
aBrpkB,Half and half
vNx8g0,Oat milk
NAB2Ol,Half and half
kYR8x1,Oat milk
kYR8x1,Soy milk
g5N8z4,Whole milk
g5N8z4,Coffee creamer
g5N8z4,Oat milk
g5N8z4,Flavored coffee creamer
lNl8zv,Whole milk
QABN8Y,Whole milk
QABN8Y,Coffee creamer
24x9o9,Oat milk
BGbJ9Q,Whole milk
BGbJ9Q,Oat milk
BGbJ9Q,Almond milk
BGbJ9Q,Half and half
lNl84k,Almond milk
NAB2El,Soy milk
9dJAMV,Whole milk
YZz79J,Coffee creamer
5dqaod,Coffee creamer
5dqaod,Half and half
GrBOgp,Whole milk
GrBOgp,Skim milk
QABNX8,Oat milk
oAV8gP,Whole milk
EPboJ2,Oat milk
6dQ64k,Whole milk
OABxEg,Whole milk
vNx8vQ,Oat milk
qbE8v9,Whole milk
qbE8v9,Oat milk
dY2J8d,Whole milk
jB98Yx,Half and half
rlr8gN,Oat milk
XeB6Ng,Whole milk
OABx97,Almond milk
OABx97,Flavored coffee creamer
42NlEX,Whole milk
ZdRbDB,Whole milk
8dpbVx,Whole milk
6dQ65P,Whole milk
6dQ65P,Coffee creamer
6dQ65P,Half and half
6dQ65P,Skim milk
7d97MR,Flavored coffee creamer
7d97MR,Half and half
ylq8GB,Whole milk
ylq8GB,Almond milk
QABNWp,Whole milk
PABZYx,Whole milk
PABZYx,Half and half
PABZYx,Coffee creamer
PABZYx,Oat milk
PABZYx,Flavored coffee creamer
PABZWb,Half and half
XeB6v4,Coffee creamer
XeB6v4,Oat milk
XeB6v4,Whole milk
DVvRE5,Coffee creamer
DVvRE5,Whole milk
DVvRE5,Oat milk
DVvRE5,Flavored coffee creamer
lNl87X,Oat milk
eBxgye,Oat milk
7d97zA,Whole milk
1r2QgW,Whole milk
KMBrGV,Oat milk
6dQ6WY,Half and half
EPboA4,Whole milk
PABZy5,Whole milk
ZdRbgz,Whole milk
6dQ6zB,Oat milk
6dQ6zB,Whole milk
LdM4Ey,Half and half
8dpb5O,Whole milk
1r2QRl,Whole milk
J2kEBo,Oat milk
J2kEBo,Almond milk
eBxgvk,Half and half
eBxgvk,Almond milk
7d97jZ,Whole milk
PABZe5,Whole milk
PABZe5,Half and half
J2kEGo,Whole milk
J2kEGo,Half and half
J2kEGo,Oat milk
ylq8zx,Whole milk
ylq8zx,Skim milk
WApapR,Coffee creamer
vNx8zD,Flavored coffee creamer
vNx8zD,Oat milk
vNx8zD,Almond milk
vNx8zD,Soy milk
vNx8zD,Coffee creamer
QABNkG,Half and half
PABZqd,Whole milk
PABZqd,Oat milk
oAV8LX,Half and half
jB98XR,Whole milk
NAB2Zb,Almond milk
aBrpMy,Whole milk
OABxKK,Whole milk
XeB6je,Whole milk
XeB6je,Coffee creamer
XeB6je,Half and half
XeB6je,Oat milk
GrBOE2,Whole milk
rlr8Z5,Whole milk
rlr8Z5,Half and half
aBrpJ9,Whole milk
aBrpJ9,Oat milk
jB98V6,Half and half
DVvR6j,Whole milk
WApa4L,Oat milk
WApa4L,Whole milk
zKQ8A1,Whole milk
pLPYEE,Almond milk
GrBOMQ,Whole milk
YZz72z,Whole milk
42Nl0b,Whole milk
42Nl0b,Oat milk
lNl8JX,Whole milk
xdN8kd,Whole milk
bl4QV6,Almond milk
LdM4xG,Whole milk
5dqaWQ,Half and half
NAB22W,Half and half
eBxWZx,Oat milk
lNl825,Whole milk
NAB21W,Oat milk
42NlMo,Whole milk
42NlMo,Half and half
24xGEe,Half and half
aBrqOX,Whole milk
OABxRk,Half and half
OABxWM,Coffee creamer
OABxWM,Oat milk
OABxWM,Flavored coffee creamer
AlbMYB,Whole milk
AlbMYB,Soy milk
AlbMYB,Oat milk
jB9Ala,Whole milk
6dQEDY,Half and half
LdML7p,Oat milk
jB9Ab4,Oat milk
rlrMON,Whole milk
g5N6Ml,Half and half
RzByo9,Whole milk
rlrMoN,Skim milk
XeBP4g,Skim milk
6dQEZk,Whole milk
qbE1d7,Whole milk
qbE1d7,Oat milk
qbE1VY,Whole milk
0EjR6N,Half and half
0EjR6N,Whole milk
BGbW75,Whole milk
J2kEvY,Coffee creamer
J2kEvY,Flavored coffee creamer
J2kEvY,Half and half
g5N6qO,Flavored coffee creamer
J2kvOo,Whole milk
7d9r2P,Half and half
7d9r2P,Whole milk
1r2odl,Whole milk
NAB1qO,Whole milk
GrBA9Z,Oat milk
J2kEyz,Oat milk
DVv67R,Whole milk
42NlWr,Whole milk
42NlWr,Half and half
aBrq6q,Almond milk
aBrq6q,Skim milk
aBrq6q,Half and half
YZzlPW,Whole milk
zKQ5jM,Whole milk
kYRB61,Whole milk
kYRB61,Half and half
kYRB61,Soy milk
zKQ5y0,Skim milk
ZdRrNy,Whole milk
0EjRey,Whole milk
0EjRey,Half and half
QABlDp,Coffee creamer
QABlDp,Almond milk
QABlDp,Oat milk
24xGB9,Half and half
24xGB9,Flavored coffee creamer
RzByD9,Skim milk
42NVQY,Whole milk
J2kvqK,Whole milk
PABJpB,Whole milk
EPb7l4,Oat milk
EPb7l4,Soy milk
EPb7l4,Half and half
XeBP0j,Whole milk
42NV8k,Whole milk
VZ1OQg,Oat milk
LdMLWj,Half and half
zKQ5Ya,Oat milk
pLPpoJ,Whole milk
pLPpoJ,Oat milk
KMBK1A,Half and half
KMBK1A,Flavored coffee creamer
dY2e9o,Whole milk
dY2e9o,Oat milk
24xGPj,Oat milk
0EjRdB,Whole milk
0EjRdB,Half and half
PABJ65,Half and half
VZ1O0v,Whole milk
8dp4xO,Coffee creamer
qbE1a9,Whole milk
rlrMPl,Oat milk
EPb7XN,Oat milk
lNlkyB,Whole milk
lNlkyB,Flavored coffee creamer
lNlkyB,Coffee creamer
xdN5ay,Oat milk
xdN5ay,Soy milk
MAdpzp,Oat milk
RzBy0J,Whole milk
PABJ1e,Half and half
jB9AZJ,Half and half
jB9AZJ,Whole milk
jB9AZJ,Coffee creamer
zKQ5Da,Whole milk
zKQ5Da,Oat milk
YZz7Nv,Whole milk
PABJ0Q,Oat milk
1r2oEM,Coffee creamer
1r2oEM,Flavored coffee creamer
KMBK67,Whole milk
KMBK67,Oat milk
KMBK67,Soy milk
XeBPe4,Oat milk
24xGrp,Whole milk
0EjRbQ,Whole milk
5dqP2M,Whole milk
MAdpJg,Oat milk
vNx5AQ,Flavored coffee creamer
YZzldq,Half and half
YZzldq,Skim milk
PABJB0,Oat milk
AlbeDW,Oat milk
GrBA1o,Whole milk
LdML0G,Whole milk
J2kvJY,Soy milk
RzByLl,Whole milk
YZzlV0,Whole milk
PABJvP,Oat milk
vNx5Od,Oat milk
vNx5Od,Almond milk
vNx5Od,Soy milk
vNx5Od,Whole milk
g5N64N,Whole milk
g5N65d,Half and half
7d9rdA,Whole milk
0EjRoQ,Whole milk
qbE1b7,Oat milk
qbE1b7,Soy milk
oAVLVM,Whole milk
g5N6QK,Coffee creamer
g5N6QK,Flavored coffee creamer
GrBAYz,Oat milk
GrBAYz,Half and half
GrBAYz,Skim milk
vNx5NQ,Oat milk
dY2eDy,Whole milk
oAVLlM,Skim milk
6dQEOO,Half and half
7d9r9z,Whole milk
xdN5ZG,Whole milk
rlrMrL,Oat milk
rlrMrL,Whole milk
jB9AJ1,Oat milk
WApVpQ,Whole milk
ZdRrvA,Whole milk
8dp4dx,Whole milk
vNx5JX,Almond milk
vNx5JX,Oat milk
vNx5JX,Flavored coffee creamer
zKQ5e1,Whole milk
zKQ5e1,Oat milk
lNlkKV,Whole milk
8dp4PY,Whole milk
rlrM0L,Whole milk
42NV9d,Whole milk
OABMLK,Half and half
YZzlo0,Whole milk
qbE1k5,Whole milk
24xGkV,Whole milk
BGbWA4,Whole milk
rlrMJp,Whole milk
EPb7Lo,Whole milk
EPb7Lo,Half and half
jB9A09,Oat milk
jB9A09,Almond milk
EPb7Z2,Half and half
42NVPo,Whole milk
g5N6JM,Whole milk
xdN5Rk,Whole milk
24xGvA,Oat milk
24xGvA,Whole milk
ZdRrza,Whole milk
24xGxA,Whole milk
24xGxA,Oat milk
pLPpRy,Whole milk
pLPpRy,Oat milk
oAVL55,Oat milk
oAVL55,Almond milk
oAVL55,Soy milk
lNlkWp,Coffee creamer
rlrMd5,Oat milk
RzByvv,Oat milk
24xG1g,Oat milk
24xG1g,Almond milk
eBxWKJ,Whole milk
1r2o2L,Oat milk
1r2o2L,Whole milk
bl4Q82,Whole milk
PABJ80,Half and half
KMBKBK,Half and half
LdMLvz,Whole milk
5dqPLM,Whole milk
5dqPLM,Oat milk
42NVvB,Whole milk
BGbWj4,Oat milk
BGbWB7,Half and half
ylq5o6,Whole milk
J2kvLJ,Whole milk
42NVjb,Whole milk
5dqPev,Oat milk
jB9ALR,Whole milk
jB9ALR,Half and half
jB9ALR,Oat milk
jB9ALR,Almond milk
9dJjpK,Half and half
LdMLE2,Oat milk
LdMLE2,Flavored coffee creamer
LdMLE2,Skim milk
xdN54E,Oat milk
J2kvV7,Whole milk
8dp46k,Whole milk
bl4QK0,Oat milk
bl4QK0,Soy milk
bl4QK0,Almond milk
QABlxk,Oat milk
QABlxk,Half and half
XeBP1e,Oat milk
XeBP1e,Whole milk
9dJjlG,Oat milk
9dJjlG,Almond milk
9dJjlG,Soy milk
WApVPJ,Whole milk
DVv6V5,Skim milk
6dQEAo,Coffee creamer
jB9AG9,Oat milk
rlrMYo,Half and half
zKQ51g,Soy milk
5dqPMQ,Oat milk
5dqPMQ,Whole milk
kYRBpo,Half and half
pLPpz1,Skim milk
pLPpz1,Half and half
pLPpz1,Almond milk
pLPpz1,Soy milk
QABlk1,Skim milk
QABlO1,Skim milk
Albeae,Oat milk
lNlkMX,Whole milk
eBxWpl,Skim milk
ZdRrQV,Half and half
aBrqzZ,Oat milk
7d9rPa,Whole milk
42NVdA,Oat milk
RzBylj,Coffee creamer
qbE1zO,Half and half
24xGVD,Whole milk
eBxWYQ,Half and half
7d9rj0,Whole milk
7d9rj0,Skim milk
xdN56d,Oat milk
rlrMg2,Half and half
qbE1pg,Oat milk
qbE1pg,Almond milk
6dQEyJ,Whole milk
6dQEyJ,Half and half
VZ1OyM,Coffee creamer
WApVjR,Whole milk
BGbWVK,Oat milk
1r2ox1,Whole milk
eBxWyl,Whole milk
rlrM1R,Half and half
6dQEGk,Whole milk
0EjRlB,Skim milk
AlbeND,Whole milk
AlbeND,Skim milk
MAdpPk,Half and half
MAdpPk,Whole milk
ylq5rg,Whole milk
24xG7M,Coffee creamer
eBxWvQ,Whole milk
24xGy9,Whole milk
