submission_id,why_drink
gMR29l,NULL
BkPN0e,NULL
W5G8jj,NULL
4xWgGr,NULL
QD27Q8,NULL
V0LPeM,NULL
V0Gaxg,NULL
AdzRL0,NULL
LbWda2,NULL
EXQLWN,NULL
2eNLJg,NULL
xpa2K9,NULL
V00RoJ,NULL
7WWB4A,NULL
pKL8aB,NULL
Zd694B,NULL
QAeYZY,NULL
QA5JYA,NULL
Rz5BPj,NULL
jyDqva,NULL
eB7QoJ,NULL
24xzlg,NULL
DVvoqX,NULL
1r2YJQ,NULL
24xYOV,NULL
AlbYao,NULL
J2krYz,NULL
WAp6ak,NULL
aBr18q,NULL
42NYWO,NULL
6dQ08e,NULL
J2kj9J,NULL
8dpDNA,NULL
EPbVlL,NULL
ylqbBg,It tastes good
vNx6A4,NULL
KMB2og,NULL
qbEQPO,NULL
9dJ0O5,NULL
BGboZR,NULL
oAVNdO,NULL
YZzBdN,It tastes good
YZzBdN,I need the caffeine
VZ17Z6,It tastes good
RzBeZj,It tastes good
RzBeZj,I need the caffeine
RzBeZj,I need the ritual
0Ej0GZ,NULL
eBxO4l,NULL
WApbkQ,I need the ritual
WApbkQ,It tastes good
0Ej0WA,It tastes good
0Ej0WA,I need the caffeine
9dJYlQ,It tastes good
9dJYlQ,I need the caffeine
BGbJzQ,NULL
OABqpR,NULL
bl41Zg,It tastes good
bl41Zg,I need the caffeine
GrBVrk,NULL
WApbYk,I need the ritual
WApbYk,It tastes good
eBxG20,It tastes good
eBxG20,I need the caffeine
eBxG20,I need the ritual
24x9NA,NULL
NAB2qB,It tastes good
NAB2qB,I need the ritual
RzBqoJ,I need the ritual
RzBqoJ,It tastes good
RzBqoJ,I need the caffeine
jB98xY,NULL
LdMxB2,NULL
GrBOrz,NULL
5dqajd,I need the ritual
5dqajd,I need the caffeine
5dqajd,It tastes good
VZ1W0E,It tastes good
VZ1W0E,I need the caffeine
VZ1W0E,I need the ritual
NABN5G,It tastes good
NABN5G,I need the ritual
6dQY8o,It tastes good
6dQY8o,I need the ritual
WAp6va,It tastes good
WAp6va,I need the ritual
WAp6va,I need the caffeine
EPbVGA,NULL
OABqQp,It tastes good
OABqQp,I need the caffeine
OABqQp,I need the ritual
DVvOop,NULL
KMBrLz,NULL
jB9r21,I need the ritual
pLPYLE,It tastes good
pLPYLE,I need the caffeine
oAV8yX,NULL
aBrp0W,NULL
g5NPxK,It tastes good
bl41kE,It tastes good
