submission_id,purchase
gMR29l,NULL
BkPN0e,NULL
W5G8jj,NULL
4xWgGr,NULL
QD27Q8,NULL
V0LPeM,NULL
V0Gaxg,"National chain (e.g. Starbucks, Dunkin)"
V0Gaxg,Local cafe
V0Gaxg,Drive-thru
V0Gaxg,Specialty coffee shop
V0Gaxg,Other
AdzRL0,NULL
LbWda2,NULL
EXQLWN,NULL
2eNLJg,NULL
xpa2K9,NULL
V00RoJ,NULL
7WWB4A,Local cafe
7WWB4A,Specialty coffee shop
pKL8aB,NULL
Zd694B,NULL
QAeYZY,NULL
QA5JYA,"National chain (e.g. Starbucks, Dunkin)"
QA5JYA,Local cafe
QA5JYA,Specialty coffee shop
Rz5BPj,NULL
jyDqva,NULL
eB7QoJ,NULL
24xzlg,NULL
DVvoqX,Local cafe
1r2YJQ,"National chain (e.g. Starbucks, Dunkin)"
1r2YJQ,Specialty coffee shop
1r2YJQ,Local cafe
24xYOV,NULL
AlbYao,NULL
J2krYz,NULL
WAp6ak,NULL
aBr18q,NULL
42NYWO,NULL
6dQ08e,Specialty coffee shop
J2kj9J,NULL
8dpDNA,NULL
EPbVlL,NULL
ylqbBg,Local cafe
ylqbBg,Specialty coffee shop
vNx6A4,NULL
KMB2og,NULL
qbEQPO,NULL
9dJ0O5,NULL
BGboZR,Local cafe
BGboZR,Specialty coffee shop
oAVNdO,NULL
YZzBdN,NULL
VZ17Z6,NULL
RzBeZj,NULL
0Ej0GZ,NULL
eBxO4l,NULL
WApbkQ,NULL
0Ej0WA,NULL
9dJYlQ,NULL
BGbJzQ,"National chain (e.g. Starbucks, Dunkin)"
OABqpR,NULL
bl41Zg,NULL
GrBVrk,Deli or supermarket
WApbYk,NULL
eBxG20,NULL
24x9NA,NULL
NAB2qB,NULL
RzBqoJ,NULL
jB98xY,Local cafe
LdMxB2,Local cafe
GrBOrz,NULL
5dqajd,NULL
VZ1W0E,NULL
NABN5G,NULL
6dQY8o,Specialty coffee shop
WAp6va,NULL
EPbVGA,NULL
OABqQp,Local cafe
OABqQp,"National chain (e.g. Starbucks, Dunkin)"
DVvOop,NULL
KMBrLz,NULL
jB9r21,NULL
pLPYLE,Drive-thru
pLPYLE,"National chain (e.g. Starbucks, Dunkin)"
oAV8yX,NULL
aBrp0W,NULL
g5NPxK,NULL
bl41kE,Specialty coffee shop
bl41kE,Drive-thru
bl41kE,Local cafe
bl41kE,"National chain (e.g. Starbucks, Dunkin)"
