submission_id,dairy
gMR29l,
BkPN0e,
W5G8jj,
4xWgGr,
QD27Q8,
V0LPeM,
V0Gaxg,
AdzRL0,
LbWda2,
EXQLWN,
2eNLJg,
xpa2K9,
V00RoJ,
7WWB4A,
pKL8aB,
Zd694B,Whole milk
QAeYZY,
QA5JYA,Half and half
Rz5BPj,
jyDqva,Oat milk
eB7QoJ,
24xzlg,
DVvoqX,Oat milk
1r2YJQ,
24xYOV,
AlbYao,Whole milk
J2krYz,
WAp6ak,
aBr18q,
42NYWO,
6dQ08e,Whole milk
J2kj9J,
8dpDNA,
EPbVlL,
ylqbBg,
vNx6A4,
KMB2og,
qbEQPO,
9dJ0O5,Whole milk
BGboZR,Whole milk
oAVNdO,
YZzBdN,
VZ17Z6,
RzBeZj,
0Ej0GZ,Skim milk
0Ej0GZ,Oat milk
eBxO4l,
WApbkQ,Whole milk
0Ej0WA,
9dJYlQ,Half and half
BGbJzQ,Whole milk
BGbJzQ,Half and half
OABqpR,Almond milk
bl41Zg,
GrBVrk,
WApbYk,Oat milk
WApbYk,Soy milk
eBxG20,
24x9NA,
NAB2qB,
RzBqoJ,
jB98xY,
LdMxB2,Oat milk
LdMxB2,Soy milk
GrBOrz,Oat milk
5dqajd,
VZ1W0E,
NABN5G,
6dQY8o,
WAp6va,Half and half
EPbVGA,
OABqQp,Whole milk
OABqQp,Half and half
OABqQp,Flavored coffee creamer
DVvOop,
KMBrLz,Skim milk
jB9r21,Whole milk
pLPYLE,Half and half
oAV8yX,Whole milk
aBrp0W,Flavored coffee creamer
g5NPxK,Oat milk
bl41kE,Half and half
GrBO1z,Half and half
GrBO1z,Whole milk
xdN8Q9,
vNx8Xv,Oat milk
dY2JPN,Coffee creamer
MAdjLE,
6dQ6xo,Skim milk
7d97lZ,
0EjqPQ,
BGbJD4,
9dJYbp,Whole milk
xdNbJ9,
EPbVLl,
pLPNQJ,
AlbMLW,
EPboPq,Whole milk
ylq8yW,
J2kEDz,Coffee creamer
24x9Lg,
0EjYb6,
ZdRb6a,Whole milk
ZdRb6a,Oat milk
WApbdP,
24xY69,Half and half
RzBqWd,
RzBqLv,
oAV8d5,
oAV8OM,
AlbYyW,
KMB4kk,Skim milk
KMB4kk,Soy milk
42N0Kd,Whole milk
0Ej0VZ,Almond milk
0Ej0VZ,Skim milk
0Ej0VZ,Whole milk
rlrQQo,Oat milk
vNx84X,Whole milk
OABxLk,
MAd2V0,
8dpbGk,
zKQ8ja,Whole milk
YZzBLJ,Whole milk
YZzBLJ,Flavored coffee creamer
QABNdl,Whole milk
8dpbko,
XeB6Ee,
KMBroK,Whole milk
KMBroK,Flavored coffee creamer
KMBroK,Oat milk
24x9rg,
dY2JjD,Whole milk
LdMjyz,
9dJYM1,
kYR4rj,
pLPN7q,
6dQ0eO,Whole milk
6dQ0eO,Half and half
42NlLd,
LdMxaj,
BGbJZ4,Half and half
J2kER7,Whole milk
eBxgQO,Whole milk
eBxgQO,Half and half
eBxgQO,Coffee creamer
J2kELz,
LdMjqJ,Whole milk
oAVNeM,
oAVZ95,
eBxGvE,
g5NPYO,Oat milk
xdNbxo,Almond milk
