submission_id,where_drink
gMR29l,
BkPN0e,
W5G8jj,
4xWgGr,
QD27Q8,
V0LPeM,
V0Gaxg,"At a cafe, At the office, At home, On the go"
AdzRL0,
LbWda2,At a cafe
EXQLWN,
2eNLJg,
xpa2K9,
V00RoJ,
7WWB4A,"On the go, At a cafe, At home, At the office"
pKL8aB,At the office
Zd694B,"At home, At the office, At a cafe"
QAeYZY,"At the office, At a cafe"
QA5JYA,"At home, At the office, On the go"
Rz5BPj,At a cafe
jyDqva,At the office
eB7QoJ,At home
24xzlg,At home
DVvoqX,"At the office, On the go, At home"
1r2YJQ,"At the office, At home, At a cafe, On the go"
24xYOV,At home
AlbYao,"At the office, At home"
J2krYz,"At home, At a cafe"
WAp6ak,
aBr18q,"At home, On the go"
42NYWO,
6dQ08e,"At a cafe, At home, On the go"
J2kj9J,
8dpDNA,
EPbVlL,At home
ylqbBg,"At home, At the office, At a cafe, On the go"
vNx6A4,
KMB2og,
qbEQPO,"At the office, At home, At a cafe"
9dJ0O5,"At home, At the office, At a cafe"
BGboZR,"At home, At a cafe, On the go"
oAVNdO,At home
YZzBdN,"At home, At the office"
VZ17Z6,"At the office, At home"
RzBeZj,At home
0Ej0GZ,"At the office, At a cafe, At home"
eBxO4l,
WApbkQ,"At a cafe, At home"
0Ej0WA,At home
9dJYlQ,"At home, At the office"
BGbJzQ,"At home, At the office, On the go"
OABqpR,At home
bl41Zg,At a cafe
GrBVrk,On the go
WApbYk,"At the office, At home"
eBxG20,"At home, At the office"
24x9NA,At home
NAB2qB,At home
RzBqoJ,At home
jB98xY,On the go
LdMxB2,"At the office, At home, On the go"
GrBOrz,
5dqajd,"At home, At a cafe"
VZ1W0E,"At home, At a cafe"
NABN5G,At home
6dQY8o,"At home, At a cafe, On the go, At the office"
WAp6va,At home
EPbVGA,"At home, At the office, At a cafe"
OABqQp,"On the go, At a cafe, At the office"
DVvOop,At home
KMBrLz,"At the office, At home"
jB9r21,"At home, At a cafe"
pLPYLE,"At the office, On the go"
oAV8yX,At home
aBrp0W,At home
g5NPxK,"At home, At the office"
bl41kE,"At home, At a cafe, On the go"
GrBO1z,"At home, At the office"
xdN8Q9,"At home, At a cafe, On the go"
vNx8Xv,At home
dY2JPN,"At home, At a cafe"
MAdjLE,At home
6dQ6xo,"At the office, At home"
7d97lZ,"At home, At the office"
0EjqPQ,At home
BGbJD4,At the office
9dJYbp,"At home, At the office"
xdNbJ9,"At home, On the go, At the office, At a cafe"
EPbVLl,"At home, At the office, On the go"
pLPNQJ,"At home, On the go"
AlbMLW,"At home, At a cafe"
EPboPq,At home
ylq8yW,"At home, At the office, On the go, At a cafe"
J2kEDz,"At the office, At home"
24x9Lg,At home
0EjYb6,At home
ZdRb6a,At home
WApbdP,"At the office, At home"
24xY69,At home
RzBqWd,At home
RzBqLv,"At home, At the office, At a cafe"
oAV8d5,"At home, At a cafe"
oAV8OM,At home
AlbYyW,At the office
KMB4kk,"At the office, At home"
42N0Kd,"At home, At the office, At a cafe"
0Ej0VZ,At home
rlrQQo,"At home, On the go, At a cafe"
vNx84X,At home
OABxLk,"At a cafe, At home"
