submission_id,sweetener
gMR29l,
BkPN0e,
W5G8jj,
4xWgGr,
QD27Q8,
V0LPeM,
V0Gaxg,
AdzRL0,
LbWda2,
EXQLWN,
2eNLJg,
xpa2K9,
V00RoJ,
7WWB4A,
pKL8aB,
Zd694B,
QAeYZY,
QA5JYA,"Granulated Sugar, Brown Sugar"
Rz5BPj,
jyDqva,
eB7QoJ,
24xzlg,
DVvoqX,
1r2YJQ,
24xYOV,
AlbYao,
J2krYz,
WAp6ak,
aBr18q,
42NYWO,
6dQ08e,
J2kj9J,
8dpDNA,
EPbVlL,
ylqbBg,
vNx6A4,
KMB2og,
qbEQPO,
9dJ0O5,
BGboZR,Honey
oAVNdO,
YZzBdN,
VZ17Z6,
RzBeZj,
0Ej0GZ,"Granulated Sugar, Brown Sugar"
eBxO4l,
WApbkQ,
0Ej0WA,
9dJYlQ,
BGbJzQ,Brown Sugar
OABqpR,
bl41Zg,Granulated Sugar
GrBVrk,
WApbYk,
eBxG20,
24x9NA,
NAB2qB,
RzBqoJ,
jB98xY,
LdMxB2,
GrBOrz,
5dqajd,
VZ1W0E,
NABN5G,
6dQY8o,
WAp6va,
EPbVGA,Granulated Sugar
OABqQp,"Raw Sugar (Turbinado), Brown Sugar"
DVvOop,
KMBrLz,
jB9r21,
pLPYLE,
oAV8yX,
aBrp0W,"Granulated Sugar, Artificial Sweeteners (e.g., Splenda)"
g5NPxK,
bl41kE,
GrBO1z,
xdN8Q9,
vNx8Xv,
dY2JPN,
MAdjLE,
6dQ6xo,
7d97lZ,
0EjqPQ,
BGbJD4,
9dJYbp,
xdNbJ9,
EPbVLl,
pLPNQJ,
AlbMLW,
EPboPq,
ylq8yW,
J2kEDz,
24x9Lg,
0EjYb6,
ZdRb6a,
WApbdP,
24xY69,
RzBqWd,
RzBqLv,
oAV8d5,
oAV8OM,
AlbYyW,Honey
KMB4kk,
42N0Kd,
0Ej0VZ,"Artificial Sweeteners (e.g., Splenda), Maple Syrup, Agave Nectar, Honey"
rlrQQo,
vNx84X,
OABxLk,
MAd2V0,
8dpbGk,
zKQ8ja,
YZzBLJ,Maple Syrup
QABNdl,"Artificial Sweeteners (e.g., Splenda)"
8dpbko,
XeB6Ee,
KMBroK,
24x9rg,
dY2JjD,
LdMjyz,
9dJYM1,
kYR4rj,
pLPN7q,
6dQ0eO,"Granulated Sugar, Raw Sugar (Turbinado)"
42NlLd,
LdMxaj,
BGbJZ4,
J2kER7,
eBxgQO,"Maple Syrup, Artificial Sweeteners (e.g., Splenda), Granulated Sugar, Honey, Brown Sugar"
J2kELz,Granulated Sugar
LdMjqJ,
oAVNeM,
oAVZ95,
eBxGvE,
g5NPYO,
xdNbxo,
zKQ8ZZ,
rlrQxl,
VZ1W8N,
WAp6PN,
DVvo9l,Raw Sugar (Turbinado)
ylqAdB,
rlrQP2,
EPbo0L,
ylqAY6,
AlbR7B,
EPbVxA,
BGboo4,
dY2GGD,
oAV8o5,
WApa9N,Granulated Sugar
BGbJE5,Granulated Sugar
0EjzA9,
vNx6YX,
WApaAQ,
J2krZX,
oAVN6V,
VZ1WVN,
42Nlko,
RzBq4P,
