submission_id,brew
gMR29l,
BkPN0e,Pod/capsule machine (e.g. Keurig/Nespresso)
W5G8jj,Bean-to-cup machine
4xWgGr,Coffee brewing machine (e.g. Mr. Coffee)
QD27Q8,Pour over
V0LPeM,"Pod/capsule machine (e.g. Keurig/Nespresso), Espresso, French press"
V0Gaxg,"Pour over, French press, Espresso, Instant coffee, Pod/capsule machine (e.g. Keurig/Nespresso)"
AdzRL0,
LbWda2,
EXQLWN,
2eNLJg,
xpa2K9,
V00RoJ,
7WWB4A,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso, Bean-to-cup machine"
pKL8aB,
Zd694B,"Pour over, Espresso, Instant coffee"
QAeYZY,
QA5JYA,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
Rz5BPj,
jyDqva,
eB7QoJ,Pour over
24xzlg,Other
DVvoqX,Espresso
1r2YJQ,Coffee extract (e.g. Cometeer)
24xYOV,Pour over
AlbYao,"Pod/capsule machine (e.g. Keurig/Nespresso), French press"
J2krYz,"Pour over, Espresso"
WAp6ak,
aBr18q,
42NYWO,
6dQ08e,"Espresso, Cold brew, Pour over"
J2kj9J,"French press, Cold brew"
8dpDNA,"Pour over, Espresso"
EPbVlL,Pour over
ylqbBg,"Pour over, French press, Espresso"
vNx6A4,
KMB2og,
qbEQPO,"Pour over, Cold brew, Other"
9dJ0O5,"French press, Pod/capsule machine (e.g. Keurig/Nespresso), Other"
BGboZR,"Pour over, French press, Espresso, Other, Cold brew, Coffee brewing machine (e.g. Mr. Coffee)"
oAVNdO,Pod/capsule machine (e.g. Keurig/Nespresso)
YZzBdN,"Pour over, Espresso"
VZ17Z6,Pour over
RzBeZj,"Pour over, French press, Pod/capsule machine (e.g. Keurig/Nespresso)"
0Ej0GZ,"Pour over, Espresso, Other"
eBxO4l,
WApbkQ,"Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)"
0Ej0WA,"Coffee extract (e.g. Cometeer), Pour over"
9dJYlQ,Other
BGbJzQ,"Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)"
OABqpR,French press
bl41Zg,
GrBVrk,
WApbYk,Other
eBxG20,"Espresso, Pour over, French press, Cold brew"
24x9NA,"Pour over, Instant coffee, Cold brew"
NAB2qB,Espresso
RzBqoJ,"Espresso, Cold brew, Pour over"
jB98xY,
LdMxB2,"Espresso, Cold brew"
GrBOrz,
5dqajd,Other
VZ1W0E,"Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew, French press, Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
NABN5G,"Pod/capsule machine (e.g. Keurig/Nespresso), Other"
6dQY8o,"Pour over, Espresso"
WAp6va,"Espresso, Bean-to-cup machine, Pour over"
EPbVGA,"Coffee brewing machine (e.g. Mr. Coffee), Cold brew"
OABqQp,
DVvOop,Espresso
KMBrLz,"Pour over, French press, Espresso, Cold brew"
jB9r21,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew"
pLPYLE,
oAV8yX,Espresso
aBrp0W,"Coffee brewing machine (e.g. Mr. Coffee), Cold brew"
g5NPxK,"Espresso, Pour over"
bl41kE,"Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
GrBO1z,"Pour over, French press"
xdN8Q9,"Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew"
vNx8Xv,French press
dY2JPN,Pour over
MAdjLE,"Espresso, Pour over"
6dQ6xo,"Espresso, Pour over"
7d97lZ,Coffee extract (e.g. Cometeer)
0EjqPQ,Pour over
BGbJD4,
9dJYbp,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
xdNbJ9,Espresso
EPbVLl,Pod/capsule machine (e.g. Keurig/Nespresso)
pLPNQJ,Pour over
AlbMLW,"Pour over, Other"
EPboPq,"Pour over, Cold brew"
ylq8yW,"Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
J2kEDz,"Espresso, Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
24x9Lg,Pour over
0EjYb6,"Pour over, Espresso"
ZdRb6a,"Espresso, Pour over"
WApbdP,Other
24xY69,"French press, Cold brew"
RzBqWd,Pour over
RzBqLv,"Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
oAV8d5,French press
oAV8OM,"Pour over, Espresso, Cold brew"
AlbYyW,
KMB4kk,"Cold brew, Coffee extract (e.g. Cometeer), Pod/capsule machine (e.g. Keurig/Nespresso), Other"
42N0Kd,"French press, Pod/capsule machine (e.g. Keurig/Nespresso)"
0Ej0VZ,"French press, Cold brew"
rlrQQo,Instant coffee
vNx84X,Espresso
OABxLk,"Pour over, Espresso"
MAd2V0,Coffee brewing machine (e.g. Mr. Coffee)
8dpbGk,"Pour over, Espresso, French press"
zKQ8ja,Espresso
YZzBLJ,Cold brew
QABNdl,"Pour over, French press, Espresso"
8dpbko,Espresso
XeB6Ee,Bean-to-cup machine
KMBroK,Pour over
24x9rg,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)"
dY2JjD,"Pour over, Espresso"
LdMjyz,"Pour over, Coffee extract (e.g. Cometeer)"
9dJYM1,"Espresso, French press, Pour over"
kYR4rj,"Espresso, Pour over, French press"
pLPN7q,"Pour over, Espresso, French press, Cold brew, Other"
6dQ0eO,"Espresso, Cold brew"
42NlLd,Coffee brewing machine (e.g. Mr. Coffee)
LdMxaj,"Pour over, Other"
BGbJZ4,"Bean-to-cup machine, Pour over"
J2kER7,"French press, Coffee brewing machine (e.g. Mr. Coffee), Other"
eBxgQO,
J2kELz,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee), Instant coffee, Cold brew"
LdMjqJ,
oAVNeM,Coffee brewing machine (e.g. Mr. Coffee)
oAVZ95,"Pour over, Espresso, Cold brew"
eBxGvE,"Pour over, Espresso, French press, Other"
g5NPYO,"Espresso, Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew, Pour over"
xdNbxo,Coffee brewing machine (e.g. Mr. Coffee)
zKQ8ZZ,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee), French press"
rlrQxl,"Pour over, French press"
VZ1W8N,"Espresso, Coffee brewing machine (e.g. Mr. Coffee), French press, Pour over"
WAp6PN,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Espresso"
DVvo9l,"French press, Espresso, Cold brew"
ylqAdB,"Pour over, Pod/capsule machine (e.g. Keurig/Nespresso)"
rlrQP2,Pour over
EPbo0L,"Pour over, Cold brew, Other"
ylqAY6,French press
AlbR7B,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
EPbVxA,"Espresso, Cold brew"
BGboo4,"Pour over, Espresso, Cold brew"
dY2GGD,
oAV8o5,"Pour over, Espresso, Bean-to-cup machine"
WApa9N,
BGbJE5,
0EjzA9,"French press, Pour over, Espresso"
vNx6YX,French press
WApaAQ,"Pour over, French press, Espresso, Other"
J2krZX,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
oAVN6V,Pour over
VZ1WVN,Pour over
42Nlko,"Pour over, Espresso"
RzBq4P,"Espresso, Coffee brewing machine (e.g. Mr. Coffee), Other"
1r2QM4,"Pour over, Espresso, Cold brew"
LdM4d2,
42N0dB,
jB98M9,Pour over
1r205O,Pour over
5dq0yE,"Espresso, Other"
YZzb4N,Coffee brewing machine (e.g. Mr. Coffee)
QABq7Y,"Pour over, Espresso, Cold brew"
PABQDd,Pour over
9dJY7E,Other
24xYgM,Pour over
KMB25K,Pour over
RzBqzP,Pour over
GrBEvo,"Pour over, Espresso"
rlrQrv,Pour over
LdMxpz,Other
ZdRblA,"Espresso, Cold brew"
bl4My7,Pour over
XeB72d,"Pour over, Espresso"
zKQBXq,"Pour over, Espresso, Instant coffee"
rlr9Yv,"Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)"
dY2GNy,"Pour over, French press, Instant coffee, Other"
zKQA18,"Other, Bean-to-cup machine, Cold brew"
ZdRAAV,"Pour over, Espresso, Pod/capsule machine (e.g. Keurig/Nespresso), Instant coffee, Coffee extract (e.g. Cometeer), Other"
VZ17Ev,Pour over
NAB2Ab,"Pour over, Espresso, Instant coffee"
rlr9yM,"Pour over, Espresso, Cold brew"
5dqYbv,"Pour over, Espresso"
AlbRKW,"Pour over, Espresso"
ylqb6X,"Pour over, Espresso, Cold brew"
dY2o6d,Coffee brewing machine (e.g. Mr. Coffee)
dY2oKz,"Pour over, Espresso"
oAVN61,"French press, Espresso"
rlr9yv,"Pour over, French press, Coffee brewing machine (e.g. Mr. Coffee)"
kYR4Nr,"Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew"
zKQ4kq,"Pour over, Coffee brewing machine (e.g. Mr. Coffee), Cold brew, French press"
RzBeoP,Pour over
24xYJL,Other
ZdRAWA,Espresso
rlr9OL,"French press, Espresso, Cold brew"
PABQdQ,"Espresso, Coffee brewing machine (e.g. Mr. Coffee), Other"
1r20NQ,"Pour over, Espresso, Other"
qbEqj2,"French press, Other"
g5NV9P,"Espresso, Coffee brewing machine (e.g. Mr. Coffee), Pour over"
42NY8Y,"Pour over, Other"
GrBVJp,French press
7d90RL,"Pour over, Other"
lNl8WV,
vNxaEA,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
0EjY5P,Pour over
eBxO5q,French press
blx47Z,"Pour over, Coffee extract (e.g. Cometeer), Cold brew"
lNlXyB,
1r2Yx4,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)"
1r20WM,"Espresso, Pour over, Other"
J2krad,"Pour over, Espresso, French press, Cold brew"
DVvo05,Pour over
VZ1aJj,Espresso
42N0ab,Pour over
aBrJxZ,French press
9dJ0qG,Pour over
PABN1x,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
8dpDDk,Pour over
qA2y0O,"Pour over, Espresso, Instant coffee"
V0ELg6,Pod/capsule machine (e.g. Keurig/Nespresso)
zKQ8Qg,"Pour over, Espresso"
VZ1WYN,Pour over
jB98W1,"Pour over, Espresso"
24x9Rj,
rlr82o,"Pour over, Cold brew"
QABNj7,
vNx8El,"Pour over, Espresso"
jB98WY,"Pour over, Espresso"
LdM4Op,"Pour over, Espresso"
qbE8gG,
bl41zZ,Pour over
xdN8yk,"Pour over, Espresso"
rlr8LX,"Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew"
jB98ga,Pod/capsule machine (e.g. Keurig/Nespresso)
pLPY01,Coffee brewing machine (e.g. Mr. Coffee)
GrBODO,Bean-to-cup machine
7d97a0,Pour over
WApale,Bean-to-cup machine
0EjqlN,Coffee brewing machine (e.g. Mr. Coffee)
oAV8dN,Pour over
0Ejqaj,Pour over
5dqaeZ,"Pour over, Espresso"
g5N8v4,"Espresso, Coffee brewing machine (e.g. Mr. Coffee)"
oAV8lb,"Pour over, French press, Cold brew"
AlbMyz,Coffee brewing machine (e.g. Mr. Coffee)
jB9871,Pour over
9dJA2E,Coffee brewing machine (e.g. Mr. Coffee)
PABZBx,"Pour over, French press"
DVvRWR,"Espresso, Pour over"
