submission_id,brew_other
gMR29l,
BkPN0e,
W5G8jj,
4xWgGr,
QD27Q8,
V0LPeM,
V0Gaxg,
AdzRL0,
LbWda2,
EXQLWN,
2eNLJg,
xpa2K9,
V00RoJ,
7WWB4A,
pKL8aB,
Zd694B,
QAeYZY,
QA5JYA,
Rz5BPj,
jyDqva,
eB7QoJ,
24xzlg,Aeropress
DVvoqX,
1r2YJQ,
24xYOV,
AlbYao,
J2krYz,
WAp6ak,
aBr18q,
42NYWO,
6dQ08e,
J2kj9J,
8dpDNA,
EPbVlL,
ylqbBg,
vNx6A4,
KMB2og,
qbEQPO,Mokkapot
9dJ0O5,Moka pot
BGboZR,"Aeropress, moka pot."
oAVNdO,
YZzBdN,
VZ17Z6,
RzBeZj,
0Ej0GZ,Aeropress
eBxO4l,
WApbkQ,
0Ej0WA,
9dJYlQ,Aeropress
BGbJzQ,
OABqpR,
bl41Zg,
GrBVrk,
WApbYk,Aeropress
eBxG20,
24x9NA,
NAB2qB,
RzBqoJ,
jB98xY,
LdMxB2,
GrBOrz,
5dqajd,Areopress
VZ1W0E,
NABN5G,Aeropress
6dQY8o,
WAp6va,
EPbVGA,
OABqQp,
DVvOop,
KMBrLz,
jB9r21,
pLPYLE,
oAV8yX,
aBrp0W,
g5NPxK,
bl41kE,
GrBO1z,
xdN8Q9,
vNx8Xv,
dY2JPN,
MAdjLE,
6dQ6xo,
7d97lZ,
0EjqPQ,
BGbJD4,
9dJYbp,
xdNbJ9,
EPbVLl,
pLPNQJ,
AlbMLW,Aeropress
EPboPq,
ylq8yW,
J2kEDz,
24x9Lg,
0EjYb6,
ZdRb6a,
WApbdP,Aeropress
24xY69,
RzBqWd,
RzBqLv,
oAV8d5,
oAV8OM,
AlbYyW,
KMB4kk,Moka pot
42N0Kd,
0Ej0VZ,
rlrQQo,
vNx84X,
OABxLk,
MAd2V0,
8dpbGk,
zKQ8ja,
YZzBLJ,
QABNdl,
8dpbko,
XeB6Ee,
KMBroK,
24x9rg,
dY2JjD,
LdMjyz,
9dJYM1,
kYR4rj,
pLPN7q,"Mokapot, aeropress"
6dQ0eO,
42NlLd,
LdMxaj,Clever
BGbJZ4,
J2kER7,Moka pot
eBxgQO,
J2kELz,
LdMjqJ,
oAVNeM,
oAVZ95,
eBxGvE,Aeropress
g5NPYO,
xdNbxo,
zKQ8ZZ,
rlrQxl,
VZ1W8N,
WAp6PN,
DVvo9l,
ylqAdB,
rlrQP2,
EPbo0L,moka pot
ylqAY6,
AlbR7B,
EPbVxA,
BGboo4,
dY2GGD,
oAV8o5,
WApa9N,
BGbJE5,
0EjzA9,
vNx6YX,
WApaAQ,"Immersion (Clever, Aeropress)"
J2krZX,
oAVN6V,
VZ1WVN,
42Nlko,
RzBq4P,Clever
1r2QM4,
LdM4d2,
42N0dB,
jB98M9,
1r205O,
5dq0yE,Aeropress
YZzb4N,
QABq7Y,
PABQDd,
9dJY7E,Aeropress
24xYgM,
KMB25K,
RzBqzP,
GrBEvo,
rlrQrv,
LdMxpz,Clever
ZdRblA,
bl4My7,
XeB72d,
zKQBXq,
rlr9Yv,
dY2GNy,aeropress
