submission_id,why_drink
gMR29l,
BkPN0e,
W5G8jj,
4xWgGr,
QD27Q8,
V0LPeM,
V0Gaxg,
AdzRL0,
LbWda2,
EXQLWN,
2eNLJg,
xpa2K9,
V00RoJ,
7WWB4A,
pKL8aB,
Zd694B,
QAeYZY,
QA5JYA,
Rz5BPj,
jyDqva,
eB7QoJ,
24xzlg,
DVvoqX,
1r2YJQ,
24xYOV,
AlbYao,
J2krYz,
WAp6ak,
aBr18q,
42NYWO,
6dQ08e,
J2kj9J,
8dpDNA,
EPbVlL,
ylqbBg,It tastes good
vNx6A4,
KMB2og,
qbEQPO,
9dJ0O5,
BGboZR,
oAVNdO,
YZzBdN,"It tastes good, I need the caffeine"
VZ17Z6,It tastes good
RzBeZj,"It tastes good, I need the caffeine, I need the ritual"
0Ej0GZ,
eBxO4l,
WApbkQ,"I need the ritual, It tastes good"
0Ej0WA,"It tastes good, I need the caffeine"
9dJYlQ,"It tastes good, I need the caffeine"
BGbJzQ,
OABqpR,
bl41Zg,"It tastes good, I need the caffeine"
GrBVrk,
WApbYk,"I need the ritual, It tastes good"
eBxG20,"It tastes good, I need the caffeine, I need the ritual"
24x9NA,
NAB2qB,"It tastes good, I need the ritual"
RzBqoJ,"I need the ritual, It tastes good, I need the caffeine"
jB98xY,
LdMxB2,
GrBOrz,
5dqajd,"I need the ritual, I need the caffeine, It tastes good"
VZ1W0E,"It tastes good, I need the caffeine, I need the ritual"
NABN5G,"It tastes good, I need the ritual"
6dQY8o,"It tastes good, I need the ritual"
WAp6va,"It tastes good, I need the ritual, I need the caffeine"
EPbVGA,
OABqQp,"It tastes good, I need the caffeine, I need the ritual"
DVvOop,
KMBrLz,
jB9r21,I need the ritual
pLPYLE,"It tastes good, I need the caffeine"
oAV8yX,
aBrp0W,
g5NPxK,It tastes good
bl41kE,"It tastes good, I need the ritual, I need the caffeine, It makes me go to the bathroom"
GrBO1z,"It tastes good, I need the caffeine, I need the ritual"
xdN8Q9,It tastes good
vNx8Xv,"It tastes good, I need the caffeine"
dY2JPN,"It tastes good, I need the ritual, It makes me go to the bathroom"
MAdjLE,It tastes good
6dQ6xo,It tastes good
7d97lZ,"I need the caffeine, It tastes good"
0EjqPQ,"It tastes good, I need the caffeine, I need the ritual"
BGbJD4,"I need the caffeine, I need the ritual, It makes me go to the bathroom, It tastes good"
9dJYbp,"It tastes good, I need the caffeine"
xdNbJ9,It tastes good
EPbVLl,
pLPNQJ,"I need the ritual, I need the caffeine, It makes me go to the bathroom, It tastes good"
AlbMLW,"It tastes good, I need the ritual"
EPboPq,"It tastes good, I need the caffeine"
ylq8yW,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom"
J2kEDz,"It tastes good, I need the ritual, It makes me go to the bathroom"
24x9Lg,"It tastes good, I need the caffeine"
0EjYb6,"It tastes good, I need the caffeine, I need the ritual"
ZdRb6a,"It tastes good, I need the caffeine, I need the ritual"
WApbdP,"It tastes good, I need the ritual, I need the caffeine"
24xY69,"I need the ritual, It tastes good"
RzBqWd,"I need the ritual, It tastes good"
RzBqLv,It tastes good
