submission_id,purchase
gMR29l,
BkPN0e,
W5G8jj,
4xWgGr,
QD27Q8,
V0LPeM,
V0Gaxg,"National chain (e.g. Starbucks, Dunkin), Local cafe, Drive-thru, Specialty coffee shop, Other"
AdzRL0,
LbWda2,
EXQLWN,
2eNLJg,
xpa2K9,
V00RoJ,
7WWB4A,"Local cafe, Specialty coffee shop"
pKL8aB,
Zd694B,
QAeYZY,
QA5JYA,"National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop"
Rz5BPj,
jyDqva,
eB7QoJ,
24xzlg,
DVvoqX,Local cafe
1r2YJQ,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop, Local cafe"
24xYOV,
AlbYao,
J2krYz,
WAp6ak,
aBr18q,
42NYWO,
6dQ08e,Specialty coffee shop
J2kj9J,
8dpDNA,
EPbVlL,
ylqbBg,"Local cafe, Specialty coffee shop"
vNx6A4,
KMB2og,
qbEQPO,
9dJ0O5,
BGboZR,"Local cafe, Specialty coffee shop"
oAVNdO,
YZzBdN,
VZ17Z6,
RzBeZj,
0Ej0GZ,
eBxO4l,
WApbkQ,
0Ej0WA,
9dJYlQ,
BGbJzQ,"National chain (e.g. Starbucks, Dunkin)"
OABqpR,
bl41Zg,
GrBVrk,Deli or supermarket
WApbYk,
eBxG20,
24x9NA,
NAB2qB,
RzBqoJ,
jB98xY,Local cafe
LdMxB2,Local cafe
GrBOrz,
5dqajd,
VZ1W0E,
NABN5G,
6dQY8o,Specialty coffee shop
WAp6va,
EPbVGA,
OABqQp,"Local cafe, National chain (e.g. Starbucks, Dunkin)"
DVvOop,
KMBrLz,
jB9r21,
pLPYLE,"Drive-thru, National chain (e.g. Starbucks, Dunkin)"
oAV8yX,
aBrp0W,
g5NPxK,
bl41kE,"Specialty coffee shop, Drive-thru, Local cafe, National chain (e.g. Starbucks, Dunkin)"
GrBO1z,
xdN8Q9,Local cafe
vNx8Xv,
dY2JPN,
MAdjLE,
6dQ6xo,
7d97lZ,
0EjqPQ,
BGbJD4,
9dJYbp,
xdNbJ9,"National chain (e.g. Starbucks, Dunkin)"
EPbVLl,Local cafe
pLPNQJ,Local cafe
AlbMLW,
EPboPq,
ylq8yW,"Local cafe, National chain (e.g. Starbucks, Dunkin)"
J2kEDz,
24x9Lg,
0EjYb6,
ZdRb6a,
WApbdP,
24xY69,
RzBqWd,
RzBqLv,
oAV8d5,
oAV8OM,
AlbYyW,
KMB4kk,
42N0Kd,
0Ej0VZ,
rlrQQo,"Specialty coffee shop, Local cafe"
vNx84X,
OABxLk,
MAd2V0,
8dpbGk,
zKQ8ja,
YZzBLJ,
QABNdl,
8dpbko,
XeB6Ee,
KMBroK,"National chain (e.g. Starbucks, Dunkin)"
24x9rg,
dY2JjD,
LdMjyz,
9dJYM1,"Specialty coffee shop, Local cafe"
kYR4rj,Local cafe
pLPN7q,
6dQ0eO,
42NlLd,
LdMxaj,
BGbJZ4,
J2kER7,
eBxgQO,
J2kELz,
LdMjqJ,Specialty coffee shop
oAVNeM,
oAVZ95,
eBxGvE,"National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop"
