submission_id,additions
gMR29l,No - just black
BkPN0e,"Sugar or sweetener, No - just black"
W5G8jj,No - just black
4xWgGr,"No - just black, Cinnamon"
QD27Q8,No - just black
V0LPeM,Half & half
V0Gaxg,No - just black
AdzRL0,
LbWda2,No - just black
EXQLWN,
2eNLJg,
xpa2K9,
V00RoJ,
7WWB4A,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup"
pKL8aB,No - just black
Zd694B,"No - just black, Milk, dairy alternative, or coffee creamer"
QAeYZY,No - just black
QA5JYA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
Rz5BPj,
jyDqva,"Milk, dairy alternative, or coffee creamer"
eB7QoJ,
24xzlg,No - just black
DVvoqX,"Milk, dairy alternative, or coffee creamer"
1r2YJQ,No - just black
24xYOV,No - just black
AlbYao,"Flavor syrup, Milk, dairy alternative, or coffee creamer"
J2krYz,No - just black
WAp6ak,
aBr18q,
42NYWO,
6dQ08e,"Milk, dairy alternative, or coffee creamer"
J2kj9J,No - just black
8dpDNA,No - just black
EPbVlL,No - just black
ylqbBg,No - just black
vNx6A4,
KMB2og,No - just black
qbEQPO,No - just black
9dJ0O5,"No - just black, Milk, dairy alternative, or coffee creamer"
BGboZR,"No - just black, Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
oAVNdO,No - just black
YZzBdN,No - just black
VZ17Z6,No - just black
RzBeZj,No - just black
0Ej0GZ,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, No - just black"
eBxO4l,
WApbkQ,"Milk, dairy alternative, or coffee creamer"
0Ej0WA,No - just black
9dJYlQ,"Milk, dairy alternative, or coffee creamer"
BGbJzQ,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup"
OABqpR,"Milk, dairy alternative, or coffee creamer"
bl41Zg,Sugar or sweetener
GrBVrk,No - just black
WApbYk,"Milk, dairy alternative, or coffee creamer"
eBxG20,No - just black
24x9NA,"No - just black, Other"
NAB2qB,No - just black
RzBqoJ,No - just black
jB98xY,
LdMxB2,"Milk, dairy alternative, or coffee creamer"
GrBOrz,"Milk, dairy alternative, or coffee creamer, No - just black"
5dqajd,No - just black
VZ1W0E,No - just black
NABN5G,No - just black
6dQY8o,No - just black
WAp6va,"Milk, dairy alternative, or coffee creamer"
EPbVGA,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener"
OABqQp,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer, No - just black"
DVvOop,Other
KMBrLz,"Milk, dairy alternative, or coffee creamer, No - just black"
jB9r21,"Milk, dairy alternative, or coffee creamer"
pLPYLE,"Milk, dairy alternative, or coffee creamer"
oAV8yX,"Milk, dairy alternative, or coffee creamer"
aBrp0W,"No - just black, Sugar or sweetener, Milk, dairy alternative, or coffee creamer"
g5NPxK,"No - just black, Milk, dairy alternative, or coffee creamer"
bl41kE,"Milk, dairy alternative, or coffee creamer"
GrBO1z,"Milk, dairy alternative, or coffee creamer"
xdN8Q9,No - just black
