submission_id,brew
BkPN0e,Pod/capsule machine (e.g. Keurig/Nespresso)
W5G8jj,Bean-to-cup machine
4xWgGr,Coffee brewing machine (e.g. Mr. Coffee)
QD27Q8,Pour over
V0LPeM,Pod/capsule machine (e.g. Keurig/Nespresso)
V0LPeM,Espresso
V0LPeM,French press
V0Gaxg,Pour over
V0Gaxg,French press
V0Gaxg,Espresso
V0Gaxg,Instant coffee
V0Gaxg,Pod/capsule machine (e.g. Keurig/Nespresso)
7WWB4A,Pour over
7WWB4A,Coffee brewing machine (e.g. Mr. Coffee)
7WWB4A,Espresso
7WWB4A,Bean-to-cup machine
Zd694B,Pour over
Zd694B,Espresso
Zd694B,Instant coffee
QA5JYA,Pour over
QA5JYA,Coffee brewing machine (e.g. Mr. Coffee)
eB7QoJ,Pour over
24xzlg,Other
DVvoqX,Espresso
1r2YJQ,Coffee extract (e.g. Cometeer)
24xYOV,Pour over
AlbYao,Pod/capsule machine (e.g. Keurig/Nespresso)
AlbYao,French press
J2krYz,Pour over
J2krYz,Espresso
6dQ08e,Espresso
6dQ08e,Cold brew
6dQ08e,Pour over
J2kj9J,French press
J2kj9J,Cold brew
8dpDNA,Pour over
8dpDNA,Espresso
EPbVlL,Pour over
ylqbBg,Pour over
ylqbBg,French press
ylqbBg,Espresso
qbEQPO,Pour over
qbEQPO,Cold brew
qbEQPO,Other
9dJ0O5,French press
9dJ0O5,Pod/capsule machine (e.g. Keurig/Nespresso)
9dJ0O5,Other
BGboZR,Pour over
BGboZR,French press
BGboZR,Espresso
BGboZR,Other
BGboZR,Cold brew
BGboZR,Coffee brewing machine (e.g. Mr. Coffee)
oAVNdO,Pod/capsule machine (e.g. Keurig/Nespresso)
YZzBdN,Pour over
YZzBdN,Espresso
VZ17Z6,Pour over
RzBeZj,Pour over
RzBeZj,French press
RzBeZj,Pod/capsule machine (e.g. Keurig/Nespresso)
0Ej0GZ,Pour over
0Ej0GZ,Espresso
0Ej0GZ,Other
WApbkQ,Espresso
WApbkQ,Pod/capsule machine (e.g. Keurig/Nespresso)
0Ej0WA,Coffee extract (e.g. Cometeer)
