submission_id,brew_other
24xzlg,Aeropress
qbEQPO,Mokkapot
9dJ0O5,Moka pot
BGboZR,Aeropress
BGboZR,moka pot.
0Ej0GZ,Aeropress
9dJYlQ,Aeropress
WApbYk,Aeropress
5dqajd,Areopress
NABN5G,Aeropress
AlbMLW,Aeropress
WApbdP,Aeropress
KMB4kk,Moka pot
pLPN7q,Mokapot
pLPN7q,aeropress
LdMxaj,Clever
J2kER7,Moka pot
eBxGvE,Aeropress
EPbo0L,moka pot
WApaAQ,"Immersion (Clever, Aeropress)"
RzBq4P,Clever
5dq0yE,Aeropress
9dJY7E,Aeropress
LdMxpz,Clever
dY2GNy,aeropress
zKQA18,Aeropress
ZdRAAV,Clever dripper
24xYJL,Aeropress
PABQdQ,Drip
1r20NQ,Aeropress
qbEqj2,Aeropress
42NY8Y,Aeropress
7d90RL,Aeropress
1r20WM,Aeropress
7d97ER,moka pot
42NlPr,Immersion (aeropress)
vNx8KD,Aero press
WApa1v,Hario Switch
24x9Zj,Aeropress
42NlN5,Aeropress
LdM4ov,Aeropress
GrBO5k,Syphone
6dQ6QN,Aeropress
aBrpkB,Cometeer!
rlr8YR,Aeropress
rlr8YR,clever
1r2QBp,Aeropress
oAV8vx,Steep-and-release (Clever dripper)
oAV8vx,Moka Pot (which is not espresso!!)
MAdjVA,Aeropress
EPboEX,Aeropress
6dQ6Vk,Aeropress
ZdRbQo,Aeropress
9dJAxQ,Aeropress
1r2QxQ,Areopress
qbE877,aero press
PABZy5,Aeropress
8dpb5O,Pulsar Immersion Brewer
J2kEGo,Aeropress
vNx8zD,VacOne
pLPYlP,Clever Dripper
KMBr2M,Aeropress
1r2Q0M,Aeropress
pLPYEE,Aeropress
VZ1WWE,Aeropress
5dqaWQ,Phin Filter
5dqaWQ,Aeropress
KMBKYX,Aeropress
KMBKYX,Phin
42NlMo,Aeropress
rlr8No,Immersion (Clever or Aeropress)
YZz7EN,Switch
YZz7EN,aeropress
AlbMgN,Aeropress
lNlk6k,Moka Pot
jB9Ala,Syphon
DVv6pR,Aeropress
g5N6Ml,Clever Dripper
vNx5P0,Aeropress
qbE1VY,Aeropress
8dp4L5,Aeropress
GrBARZ,aeropress (over ice and hot)
GrBAve,Aeropress
1r2odl,Moka pot
VZ1OpM,Aeropress
YZzlPW,Aeropress
RzBy5d,Aeropress
EPb7XX,Moka Pot
EPb7XX,Aeropress
PABJ9V,Aeropress
kYR8Pj,Aeropress
J2kvqK,I mix it with matcha
J2kv1K,Aeropress
PABJpB,"Immersion (e.g., Hario Switch)"
GrBO2O,Aero press
9dJjQp,Siphon
oAVLRP,Aeropress
qbE1a9,Aeropress
dY2e0o,Aeropress
XeBPWj,Aeropress
g5N6e4,Moka pot
zKQ5Da,Aeropress
24xGAj,clever
lNl8j5,Aeropress
lNl8j5,Moka pot
6dQExe,Immersion Brew
xdN5Qo,Aeropress
6dQE15,Aeropress
LdML0G,Aeropress
zKQ5Kq,Turkish
lNlkNW,Aeropress
g5N65d,Clever Dripper
GrBA1j,Aeropress
NAB1MN,Aeropress
6dQEOO,Aeropress
VZ1Olv,Aeropress
OABMJp,Aeropress
ZdRrGv,Aeropress
VZ1OME,Aeropress
jB9AJ1,Aeropress
vNx5JX,Aeropress
PABJBd,Aeropress
GrBABz,Aeropress
YZzlY6,Aeropress
24xGkV,Aeropress
24xGkV,Mocha Pot
rlrMJp,Hario switch
EPb7vA,Moka
24xGvA,Aeropress; moka pot
AlbeWo,Hario switch
pLPpRy,Aeropress
rlrM2p,Mokapot
rlrM2p,Aeropress
zKQ5J8,Aero Press
xdN599,Aeropress
xdN599,Hario Switch
KMBKBK,Aeropress
J2kv2d,drip-o-lator
6dQEvO,Aeropress
jB9ALR,Aeropress
9dJjpK,Clever Dripper
1r2oD4,Aeropress
bl4QK0,Mokapot
QABlxk,Unimatic (stovetop percolator)
9dJjlG,Aeropress + Prisimo
jB9A5Y,Aeropress
rlrMYo,Aeropress
9dJjrE,syphon pot
XeBP2z,Hario Switch
1r2oRg,Aeropress
oAVLzb,Aeropress
kYRBQe,Aeropress
kYRBQe,Moka Pot
eBxWYQ,Aeropress
xdN56d,Aeropress
KMBKNV,Aeropress
XeBPdg,Aeropress
AlbeND,Moka Pot
vNx5pl,Aeropress
MAdpPk,Aeropress
bl4Qz6,aeropress
6dQE9Y,Aeropress
eBxWvQ,Aeropress
eBxWvQ,every day for years
ZdRrXo,Hario Switch Brewer
ZdRrAo,Aeropress
oAVLax,Hario Switch
VZ1OXg,clever dripper
vNx5Wg,AeroPress
Albe0e,Aeropress
J2kvxR,Aeropress
5dqPON,Immersion & no bypass
dY2ezr,Aeropress
oAVLgb,aeropress
AlbeOz,Moka Pot
QABlp7,Aeropress
QABlp7,immersion dripper
ylq5GX,Aeropress
42NVEr,Krups Moka
vNx5d4,Moka Pot
MAdp2M,Aeropress
7d9rYZ,Aeropress
RzByg4,Aeropress
5dqPYo,Hario Switch
J2kv4d,Aeropress
EPb7VX,Aeropress
aBrqJv,Aeropress
aBrqJv,moka pot
42NVlk,Moka pot
6dQEBB,Aeropress
RzByed,Hario Switch
GrBAZj,Aeropress
dY2eoo,Aeropress
YZzlAd,AeroPress
zKQ5k1,Aeropress
ZdRrbz,Moka
6dQEEB,Aeropress
6dQEEB,clever dripper
6dQE6P,Hario Switch
pLPpYq,Aeropress
RzByqd,aeropress
VZ1O7J,Aeropress
8dp4DO,Aeropress
RzBypp,Moka Pot
RzBypp,sometimes Bripe
rlrM75,Aeropress
J2kvE4,Aeropress
1r2oLM,Aeropress
jB9A4a,Aeropress
42NV6O,Vac One
EPb79q,clever dripper
GrBAVZ,Aeropress
5dqP7d,Aeropress and fellow ode v2
DVv6oR,immersion
GrBAGj,Aeropress
24xG9L,Aeropress/Clever Dripper
XeBPa4,Aeropress
aBrqqq,Aeropress
VZ1O6v,Aeropress
0EjR96,Aeropress
jB9A4x,aeropress
42NV5B,aero press
EPb77X,Aeropress
24xG6V,Infusion Brew (Aeropress)
oAVL8e,Moka pot
rlrMz5,Aeropress
MAdpZp,Drobi
MAdpZp,Phin
MAdpZp,Clever Dripper
MAdpZp,Aeropress and Aeropress XL
OABMx7,aeropress
9dJjAp,Aeropress
24xGWV,Aeropress
g5N6ld,Clever Coffee Dripper
BGbWRN,Aeropress
bl4Q1g,Aeropress
J2kvPd,moka pot
42NVZb,Harki switch steeping method
YZzll5,Aeropress
jB9ARE,Aeropress
9dJjz4,AeroPress
rlrZ5X,Clever Dripper
PABq11,Aeropress
eBxWdo,Aeropress
8dp4vo,Moka Pot
6dQEb5,My husband brews it.
MAdxeE,Aeropress
Albe1W,Areo Press
BGbRde,aeropress
lNlko6,Aeropress
eBxW1o,Cometeer
RzB9Kv,Aeropress
1r2oqO,Aeropress
1r2oqO,Moka Pot
OABNlM,Aeropress
jB9VZ1,Moka pot
jB9VlQ,Infusion
vNx9eg,Aeropress
kYRPbd,Clever
qbE12k,Aeropress
7d9kl6,AeroPress
MAdxEk,Moka pot
MAdxEk,aero press
MAdxEk,clever dripper
XeBb0L,Aeropress
vNx9Dg,aeropress
g5N6RK,aeropress
KMBj1X,Whatever wife makes me
8dplKP,Aeropress
EPbOQr,Aeropress
qbElDO,Aeropress
VZ16j6,Aeropress
J2k4AK,Aeropress
NABZWj,Aeropress
lNlErN,clever
lNlErN,aeropress
5dqPWP,aeropress/moka pot
xdNWJd,The Russ Jones method. Boiling water in a mason jar
xdNWJd,carefully pull a vacuum on it (it will overflow)
xdNWJd,maybe leave it under a dripping faucet to steep for 3+ minutes.(cool water increases gas released) interesting change to body and flavor of coffee
xdNWJd,and its like a fun science experiment showing boiling at lower temps
dY2yNV,Aeropress
NABZ0l,Aeropress
8dplpx,Aeropress
1r2avQ,Moka pot
kYRP51,Aeropress
ylqaop,Aero Press
MAdxOM,Infusion
g5NoJ1,Aeropress
xdNWPy,Mocha pot
6dQBOB,aeropress
aBrM0v,Aeropress
ZdRBRy,Aeropress
AlbXqk,Phin
rlrZ2M,Aeropress
