submission_id,purchase_other
5dq0yE,I don’t
5dq0yE,cafe coffee has never appealed to me because of the cost to quantity ratio
QABNap,Online
5dqagd,Cometeer
dY2Jgo,Online ordering
xdN5ay,Trade
24xGOb,Online via local roaster
xdN5vk,Online: Amazon.com
9dJjeG,Gas station
eBxW1o,Cometeer
bl4Je6,Gas station
1r2a91,gas station
dY2yNV,"Home roasted coffee (Fresh Roast SR800, Sweet Marias green))"
42NbpB,Nespresso
AlbgaB,Online through roasters
24x2LA,Online
1r28gg,I do buy some green coffee and roast myself
Grox5j,Office
kY09M6,I make it at home and drink it on the go.
lN0LKk,"Online (Amazon, Cometeer, Sey, Stumptown, Oren's Coffee, etc.)"
J2Vy5K,Gas Station
24bMBM,Wawa
DV0q8R,Online ordering
VZoGry,Online Retailers
VZozlM,Make at home for to go.
kYONrJ,Seattle Coffee Gear
5dEvMP,Roasting friend
dYQjpN,Make a pot from home that I take with me.
eB92Gx,Roasting friend
vNE0Dd,BYOC
NAb78l,wandering bear cold brew from home
J2M1ko,Bean-to-cup machine at gas station
